a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-12348.262338332803,76
0.1,0.247,0.3,0.01,0.005,-15554.028230555496,76
0.1,0.2,0.35600000000000004,0.01,0.005,-11775.392015928377,76
0.1,0.247,0.2424,0.01,0.005,-9708.192940748308,76
0.1,0.2,0.3,0.01,0.005,-14847.98008428691,77
0.1,0.168,0.3,0.01,0.005,-16580.39378947109,77
0.1,0.2,0.2424,0.01,0.005,-11940.125220308544,77
0.1,0.247,0.1856,0.01,0.005,-14468.568804790557,77
0.1,0.2,0.3,0.01,0.005,-8430.37800278556,78
0.1,0.168,0.3,0.01,0.005,-19308.990843273208,78
0.1,0.2,0.2992,0.01,0.005,-8441.872781285383,78
0.1,0.168,0.4696,0.01,0.005,-8963.109016438699,78
0.1,0.2,0.3,0.01,0.005,-17706.883152831644,79
0.1,0.168,0.3,0.01,0.005,-9090.548282764637,79
0.1,0.2,0.1856,0.01,0.005,-7820.363976542769,79
0.1,0.247,0.1288,0.01,0.005,-8225.289772433443,79
0.1,0.2,0.3,0.01,0.005,-11154.509204939788,80
0.1,0.168,0.3,0.01,0.005,-18808.00679733147,80
0.1,0.2,0.2992,0.01,0.005,-11150.566542880955,80
0.1,0.168,0.4128,0.01,0.005,-11165.626838791371,80
0.1,0.2,0.3,0.01,0.005,-12566.73377663829,81
0.1,0.247,0.3,0.01,0.005,-10538.69094284404,81
0.1,0.2,0.4128,0.01,0.005,-6700.442943653958,81
0.1,0.168,0.64,0.01,0.005,-9751.068136726286,81
0.1,0.2,0.3,0.01,0.005,-9477.245485935457,82
0.1,0.247,0.3,0.01,0.005,-18630.59813374092,82
0.1,0.2,0.2992,0.01,0.005,-9497.851441418492,82
0.1,0.247,0.1856,0.01,0.005,-10516.952938233353,82
0.1,0.2,0.3,0.01,0.005,-12728.025898689837,83
0.1,0.168,0.3,0.01,0.005,-16072.450994171459,83
0.1,0.2,0.2424,0.01,0.005,-9360.174547027887,83
0.1,0.247,0.1856,0.01,0.005,-9625.825861773068,83
0.1,0.2,0.3,0.01,0.005,-18415.34090767583,84
0.1,0.168,0.3,0.01,0.005,-10911.723679309041,84
0.1,0.2,0.1856,0.01,0.005,-9545.908099346307,84
0.1,0.247,0.1288,0.01,0.005,-9392.114746725998,84
0.1,0.2,0.3,0.01,0.005,-23568.103091506804,85
0.1,0.168,0.3,0.01,0.005,-18364.64393084272,85
0.1,0.2,0.2424,0.01,0.005,-17741.918899418968,85
0.1,0.168,0.2992,0.01,0.005,-18387.903616010088,85
0.1,0.2,0.3,0.01,0.005,-9198.819645678876,86
0.1,0.168,0.3,0.01,0.005,-17166.96651084296,86
0.1,0.2,0.2992,0.01,0.005,-9214.659412509658,86
0.1,0.168,0.4696,0.01,0.005,-6221.8958946278,86
0.1,0.2,0.3,0.01,0.005,-8035.027193830125,87
0.1,0.168,0.3,0.01,0.005,-8913.462188304835,87
0.1,0.2,0.2424,0.01,0.005,-4575.318783492388,87
0.1,0.247,0.1856,0.01,0.005,-7306.860699931351,87
0.1,0.2,0.3,0.01,0.005,-7383.216583052771,88
0.1,0.168,0.3,0.01,0.005,-14289.993187747818,88
0.1,0.2,0.2424,0.01,0.005,-7193.83046872507,88
0.1,0.247,0.1856,0.01,0.005,-7250.937475730075,88
0.1,0.2,0.3,0.01,0.005,-36762.57885323397,89
0.1,0.168,0.3,0.01,0.005,-22797.304639498587,89
0.1,0.2,0.1856,0.01,0.005,-14322.171679566465,89
0.1,0.247,0.1288,0.01,0.005,-11443.368558156482,89
0.1,0.2,0.3,0.01,0.005,-13595.798809011925,90
0.1,0.247,0.3,0.01,0.005,-20626.115885778727,90
0.1,0.2,0.35600000000000004,0.01,0.005,-13075.76115206567,90
0.1,0.247,0.2424,0.01,0.005,-14778.578581017724,90
0.1,0.2,0.3,0.01,0.005,-10145.053710462724,91
0.1,0.168,0.3,0.01,0.005,-18108.788737403862,91
0.1,0.2,0.2992,0.01,0.005,-10126.506083228858,91
0.1,0.168,0.4128,0.01,0.005,-11855.815064948269,91
0.1,0.2,0.3,0.01,0.005,-23110.94467572441,92
0.1,0.168,0.3,0.01,0.005,-16810.67433802532,92
0.1,0.2,0.1856,0.01,0.005,-12684.169120300046,92
0.1,0.247,0.1288,0.01,0.005,-10648.054206865992,92
0.1,0.2,0.3,0.01,0.005,-21008.61405946383,93
0.1,0.168,0.3,0.01,0.005,-16317.438018187318,93
0.1,0.2,0.1856,0.01,0.005,-13702.405369911956,93
0.1,0.247,0.1288,0.01,0.005,-11867.688412396195,93
0.1,0.2,0.3,0.01,0.005,-6784.20969533544,94
0.1,0.168,0.3,0.01,0.005,-17506.645936866178,94
0.1,0.2,0.2992,0.01,0.005,-6775.776462452518,94
0.1,0.247,0.1856,0.01,0.005,-7702.619083947661,94
0.1,0.2,0.3,0.01,0.005,-22940.133130614722,95
0.1,0.168,0.3,0.01,0.005,-27690.118597427783,95
0.1,0.2,0.2424,0.01,0.005,-17634.78997188383,95
0.1,0.405,0.072,0.01,0.005,-10148.471189148719,95
0.1,0.2,0.3,0.01,0.005,-9170.193658174065,96
0.1,0.247,0.3,0.01,0.005,-16235.61322602408,96
0.1,0.2,0.35600000000000004,0.01,0.005,-8377.098074281761,96
0.1,0.247,0.2424,0.01,0.005,-10669.908766919709,96
0.1,0.2,0.3,0.01,0.005,-9718.036255550087,97
0.1,0.168,0.3,0.01,0.005,-20056.502941988525,97
0.1,0.2,0.2992,0.01,0.005,-9721.939395696396,97
0.1,0.168,0.4696,0.01,0.005,-10874.657976305078,97
0.1,0.2,0.3,0.01,0.005,-11916.943932457778,98
0.1,0.247,0.3,0.01,0.005,-14436.047100538184,98
0.1,0.2,0.35600000000000004,0.01,0.005,-9500.49676592476,98
0.1,0.247,0.2424,0.01,0.005,-10918.792273097513,98
0.1,0.2,0.3,0.01,0.005,-11817.232917069468,99
0.1,0.168,0.3,0.01,0.005,-19438.50779691373,99
0.1,0.2,0.2424,0.01,0.005,-10017.601969126134,99
0.1,0.247,0.1856,0.01,0.005,-7531.880168612207,99
0.1,0.2,0.3,0.01,0.005,-9546.666193135763,100
0.1,0.247,0.3,0.01,0.005,-17796.684539333608,100
0.1,0.2,0.35600000000000004,0.01,0.005,-7411.404916997617,100
0.1,0.168,0.5831999999999999,0.01,0.005,-6484.305766453084,100
