a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-127733.9740270851,1
0.1,0.247,0.3,0.01,0.005,-417923.821580745,1
0.1,0.2,0.35600000000000004,0.01,0.005,-105323.0838414746,1
0.1,0.168,0.4696,0.01,0.005,-162028.19510946667,1
0.1,0.2,0.3,0.01,0.005,-716927.7684432464,2
0.1,0.168,0.3,0.01,0.005,-361584.9707485654,2
0.1,0.2,0.2424,0.01,0.005,-219940.78731368232,2
0.1,0.247,0.1856,0.01,0.005,-224578.22372538983,2
0.1,0.2,0.3,0.01,0.005,-115387.19740840945,3
0.1,0.247,0.3,0.01,0.005,-354400.49554265954,3
0.1,0.2,0.35600000000000004,0.01,0.005,-51475.93234692493,3
0.1,0.168,0.4696,0.01,0.005,-90994.7310411454,3
0.1,0.2,0.3,0.01,0.005,-82964.62722830709,4
0.1,0.168,0.3,0.01,0.005,-391921.76756703015,4
0.1,0.2,0.2992,0.01,0.005,-83221.78266417065,4
0.1,0.168,0.4128,0.01,0.005,-48148.94017556829,4
0.1,0.2,0.3,0.01,0.005,-103338.39237398066,5
0.1,0.168,0.3,0.01,0.005,-341022.82050672144,5
0.1,0.2,0.2992,0.01,0.005,-101001.6571143756,5
0.1,0.247,0.1856,0.01,0.005,-94436.07264608321,5
0.1,0.2,0.3,0.01,0.005,-105842.88074316559,6
0.1,0.247,0.3,0.01,0.005,-324472.1773208661,6
0.1,0.2,0.35600000000000004,0.01,0.005,-58038.13939968752,6
0.1,0.247,0.2424,0.01,0.005,-134003.7874055814,6
0.1,0.2,0.3,0.01,0.005,-208167.31907209536,7
0.1,0.247,0.3,0.01,0.005,-227287.22953690344,7
0.1,0.2,0.35600000000000004,0.01,0.005,-59238.07291054499,7
0.1,0.168,0.5264,0.01,0.005,-140779.62875171888,7
0.1,0.2,0.3,0.01,0.005,-417984.42461048777,8
0.1,0.168,0.3,0.01,0.005,-236190.70550416084,8
0.1,0.2,0.2424,0.01,0.005,-92155.86291842323,8
0.1,0.247,0.1856,0.01,0.005,-104834.03411335847,8
0.1,0.2,0.3,0.01,0.005,-135158.47653578167,9
0.1,0.247,0.3,0.01,0.005,-362097.180822909,9
0.1,0.2,0.35600000000000004,0.01,0.005,-70381.60567770136,9
0.1,0.168,0.4696,0.01,0.005,-116518.14695089827,9
0.1,0.2,0.3,0.01,0.005,-87797.10489958532,10
0.1,0.247,0.3,0.01,0.005,-539289.8929802682,10
0.1,0.2,0.2992,0.01,0.005,-88188.79681528524,10
0.1,0.247,0.2424,0.01,0.005,-156361.2379641001,10
0.1,0.2,0.3,0.01,0.005,-91356.57113495591,11
0.1,0.168,0.3,0.01,0.005,-190101.63035624629,11
0.1,0.2,0.2992,0.01,0.005,-89145.41991919292,11
0.1,0.168,0.35600000000000004,0.01,0.005,-59298.24771959756,11
0.1,0.2,0.3,0.01,0.005,-60792.69996951639,12
0.1,0.247,0.3,0.01,0.005,-402407.9049838154,12
0.1,0.2,0.35600000000000004,0.01,0.005,-55908.5349919763,12
0.1,0.168,0.4696,0.01,0.005,-99711.24249664613,12
0.1,0.2,0.3,0.01,0.005,-127129.72472125826,13
0.1,0.247,0.3,0.01,0.005,-456055.9196143202,13
0.1,0.2,0.35600000000000004,0.01,0.005,-94161.41847058387,13
0.1,0.168,0.4696,0.01,0.005,-95051.63980687394,13
0.1,0.2,0.3,0.01,0.005,-442972.39453514386,14
0.1,0.247,0.3,0.01,0.005,-359528.4190219375,14
0.1,0.2,0.4128,0.01,0.005,-86248.15651968787,14
0.1,0.168,0.5831999999999999,0.01,0.005,-39403.16813017637,14
0.1,0.2,0.3,0.01,0.005,-128101.10747122762,15
0.1,0.168,0.3,0.01,0.005,-213306.3748919256,15
0.1,0.2,0.2424,0.01,0.005,-94094.27128187886,15
0.1,0.168,0.35600000000000004,0.01,0.005,-115851.31703270419,15
0.1,0.2,0.3,0.01,0.005,-79469.91124209468,16
0.1,0.168,0.3,0.01,0.005,-500122.33420193306,16
0.1,0.2,0.2992,0.01,0.005,-78734.68380318079,16
0.1,0.247,0.1856,0.01,0.005,-143317.99669272985,16
0.1,0.2,0.3,0.01,0.005,-85270.63996981329,17
0.1,0.168,0.3,0.01,0.005,-468066.7680516261,17
0.1,0.2,0.2992,0.01,0.005,-85731.18124513625,17
0.1,0.168,0.4128,0.01,0.005,-97187.42206001212,17
0.1,0.2,0.3,0.01,0.005,-155318.50431602602,18
0.1,0.168,0.3,0.01,0.005,-154327.600509638,18
0.1,0.2,0.2424,0.01,0.005,-41413.35441659818,18
0.1,0.247,0.1856,0.01,0.005,-98615.71715860351,18
0.1,0.2,0.3,0.01,0.005,-42116.73724860088,19
0.1,0.168,0.3,0.01,0.005,-436087.4970114263,19
0.1,0.2,0.2992,0.01,0.005,-42237.67579516355,19
0.1,0.168,0.4128,0.01,0.005,-103765.47311039182,19
0.1,0.2,0.3,0.01,0.005,-76052.96615947045,20
0.1,0.247,0.3,0.01,0.005,-458019.176304252,20
0.1,0.2,0.35600000000000004,0.01,0.005,-73015.42029996686,20
0.1,0.168,0.4128,0.01,0.005,-85411.0691880846,20
0.1,0.2,0.3,0.01,0.005,-129754.95110323827,21
0.1,0.247,0.3,0.01,0.005,-320698.1714941442,21
0.1,0.2,0.35600000000000004,0.01,0.005,-58454.95722532795,21
0.1,0.168,0.4696,0.01,0.005,-126715.85039896317,21
0.1,0.2,0.3,0.01,0.005,-43899.98554167229,22
0.1,0.168,0.3,0.01,0.005,-479569.55789947807,22
0.1,0.2,0.2992,0.01,0.005,-44445.753234283264,22
0.1,0.168,0.4128,0.01,0.005,-98608.72850908173,22
0.1,0.2,0.3,0.01,0.005,-47255.34654263978,23
0.1,0.168,0.3,0.01,0.005,-320398.6485133331,23
0.1,0.2,0.2992,0.01,0.005,-46364.038945,23
0.1,0.168,0.4128,0.01,0.005,-102644.2180704731,23
0.1,0.2,0.3,0.01,0.005,-60047.97305741588,24
0.1,0.168,0.3,0.01,0.005,-362633.69432530744,24
0.1,0.2,0.2992,0.01,0.005,-58661.728825456135,24
0.1,0.247,0.1856,0.01,0.005,-123872.35361195426,24
0.1,0.2,0.3,0.01,0.005,-142984.37701652228,25
0.1,0.168,0.3,0.01,0.005,-275416.1655584697,25
0.1,0.2,0.2424,0.01,0.005,-84780.93096216317,25
0.1,0.247,0.1856,0.01,0.005,-58734.49656548802,25
