a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-69971.21785091065,51
0.1,0.168,0.3,0.01,0.005,-255304.3544233423,51
0.1,0.2,0.2992,0.01,0.005,-67720.78818498645,51
0.1,0.247,0.1856,0.01,0.005,-96063.99602833213,51
0.1,0.2,0.3,0.01,0.005,-27728.021832007915,52
0.1,0.168,0.3,0.01,0.005,-495416.71700221614,52
0.1,0.2,0.2992,0.01,0.005,-28389.66880859171,52
0.1,0.168,0.4128,0.01,0.005,-98934.06163432413,52
0.1,0.2,0.3,0.01,0.005,-56154.617915967654,53
0.1,0.247,0.3,0.01,0.005,-438797.27229321335,53
0.1,0.2,0.2992,0.01,0.005,-57595.013941286314,53
0.1,0.168,0.4128,0.01,0.005,-104424.7170051623,53
0.1,0.2,0.3,0.01,0.005,-57146.92551651384,54
0.1,0.168,0.3,0.01,0.005,-505278.11859343806,54
0.1,0.2,0.2992,0.01,0.005,-57767.72665112501,54
0.1,0.168,0.4128,0.01,0.005,-112305.83163981128,54
0.1,0.2,0.3,0.01,0.005,-48181.01629266815,55
0.1,0.247,0.3,0.01,0.005,-452671.8230328167,55
0.1,0.2,0.2992,0.01,0.005,-49189.95330129325,55
0.1,0.168,0.4128,0.01,0.005,-121585.8420009881,55
0.1,0.2,0.3,0.01,0.005,-72789.43455820977,56
0.1,0.168,0.3,0.01,0.005,-410688.3856270887,56
0.1,0.2,0.2992,0.01,0.005,-73147.38076158539,56
0.1,0.168,0.4128,0.01,0.005,-54802.18289479747,56
0.1,0.2,0.3,0.01,0.005,-430385.12328063714,57
0.1,0.168,0.3,0.01,0.005,-142310.94694389767,57
0.1,0.2,0.2424,0.01,0.005,-70208.31923537746,57
0.1,0.168,0.2992,0.01,0.005,-142111.58797794458,57
0.1,0.2,0.3,0.01,0.005,-33058.82460972527,58
0.1,0.168,0.3,0.01,0.005,-434161.7397538198,58
0.1,0.2,0.2992,0.01,0.005,-32915.71571495886,58
0.1,0.168,0.4128,0.01,0.005,-128002.67266851291,58
0.1,0.2,0.3,0.01,0.005,-107042.02351549057,59
0.1,0.168,0.3,0.01,0.005,-340984.6574276055,59
0.1,0.2,0.2992,0.01,0.005,-105067.10183912188,59
0.1,0.247,0.1856,0.01,0.005,-143683.6379722799,59
0.1,0.2,0.3,0.01,0.005,-99266.03014690964,60
0.1,0.168,0.3,0.01,0.005,-243239.4265370585,60
0.1,0.2,0.2424,0.01,0.005,-81154.08951137829,60
0.1,0.247,0.1856,0.01,0.005,-89198.00316502474,60
0.1,0.2,0.3,0.01,0.005,-151997.01468904776,61
