a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-277545.38800564513,51
0.1,0.168,0.3,0.01,0.005,-1171478.0602680517,51
0.1,0.2,0.2992,0.01,0.005,-268088.74148271495,51
0.1,0.168,0.35600000000000004,0.01,0.005,-415179.85104028526,51
0.1,0.2,0.3,0.01,0.005,-66586.53560882017,52
0.1,0.247,0.3,0.01,0.005,-2126382.9725586735,52
0.1,0.2,0.2992,0.01,0.005,-69803.98538348229,52
0.1,0.168,0.4128,0.01,0.005,-459396.9694888988,52
0.1,0.2,0.3,0.01,0.005,-122398.89821416556,53
0.1,0.247,0.3,0.01,0.005,-2161432.1857769885,53
0.1,0.2,0.2992,0.01,0.005,-126730.66372391056,53
0.1,0.168,0.4128,0.01,0.005,-323219.7526127827,53
0.1,0.2,0.3,0.01,0.005,-84580.99803805108,54
0.1,0.168,0.3,0.01,0.005,-1851224.4191915044,54
0.1,0.2,0.2992,0.01,0.005,-85365.34929393626,54
0.1,0.168,0.4128,0.01,0.005,-348155.14524748997,54
0.1,0.2,0.3,0.01,0.005,-92101.98746410223,55
0.1,0.247,0.3,0.01,0.005,-2165260.759641419,55
0.1,0.2,0.2992,0.01,0.005,-96483.23947545205,55
0.1,0.168,0.4128,0.01,0.005,-277047.9839299431,55
0.1,0.2,0.3,0.01,0.005,-115143.24674757432,56
0.1,0.247,0.3,0.01,0.005,-2095542.1307106477,56
0.1,0.2,0.2992,0.01,0.005,-120452.05272270243,56
0.1,0.168,0.4128,0.01,0.005,-228565.68186907293,56
0.1,0.2,0.3,0.01,0.005,-1654573.8586015333,57
0.1,0.168,0.3,0.01,0.005,-763655.3227694216,57
0.1,0.2,0.2424,0.01,0.005,-225743.04260185387,57
0.1,0.247,0.1856,0.01,0.005,-255923.88707852992,57
0.1,0.2,0.3,0.01,0.005,-114840.83211788008,58
0.1,0.168,0.3,0.01,0.005,-1737104.945918707,58
0.1,0.2,0.2992,0.01,0.005,-112431.9262966024,58
0.1,0.168,0.35600000000000004,0.01,0.005,-535243.4395935669,58
0.1,0.2,0.3,0.01,0.005,-161034.8723812148,59
0.1,0.168,0.3,0.01,0.005,-1459051.0864063718,59
0.1,0.2,0.2992,0.01,0.005,-155154.93832804123,59
0.1,0.168,0.35600000000000004,0.01,0.005,-497097.9574791741,59
0.1,0.2,0.3,0.01,0.005,-235841.74514262145,60
0.1,0.168,0.3,0.01,0.005,-1160388.9432099531,60
0.1,0.2,0.2992,0.01,0.005,-225835.37951049395,60
0.1,0.247,0.1856,0.01,0.005,-427719.9186164294,60
0.1,0.2,0.3,0.01,0.005,-389918.6329351985,61
0.1,0.247,0.3,0.01,0.005,-1459656.758540067,61
0.1,0.2,0.35600000000000004,0.01,0.005,-146263.51232422423,61
0.1,0.168,0.4696,0.01,0.005,-301817.5133078885,61
0.1,0.2,0.3,0.01,0.005,-100783.6056897665,62
0.1,0.168,0.3,0.01,0.005,-1992183.904517975,62
0.1,0.2,0.2992,0.01,0.005,-99440.74916527208,62
