a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-59593.45565936183,26
0.1,0.168,0.3,0.01,0.005,-1836195.6798470977,26
0.1,0.2,0.2992,0.01,0.005,-60256.860637789345,26
0.1,0.168,0.4128,0.01,0.005,-338451.83169523394,26
0.1,0.2,0.3,0.01,0.005,-423006.75905792206,27
0.1,0.168,0.3,0.01,0.005,-1049843.296061249,27
0.1,0.2,0.2992,0.01,0.005,-409394.2586945892,27
0.1,0.247,0.1856,0.01,0.005,-440321.1708213643,27
0.1,0.2,0.3,0.01,0.005,-83892.92744194786,28
0.1,0.168,0.3,0.01,0.005,-1987662.0116312157,28
0.1,0.2,0.2992,0.01,0.005,-85154.41088512985,28
0.1,0.168,0.4128,0.01,0.005,-431357.2939218162,28
0.1,0.2,0.3,0.01,0.005,-121501.84535391687,29
0.1,0.168,0.3,0.01,0.005,-1726899.675738556,29
0.1,0.2,0.2992,0.01,0.005,-118291.78425309793,29
0.1,0.168,0.35600000000000004,0.01,0.005,-605802.5560290926,29
0.1,0.2,0.3,0.01,0.005,-252621.54261101378,30
0.1,0.168,0.3,0.01,0.005,-1818337.6994053763,30
0.1,0.2,0.2992,0.01,0.005,-247356.80359582667,30
0.1,0.247,0.1856,0.01,0.005,-726308.9413997824,30
0.1,0.2,0.3,0.01,0.005,-81492.60429026633,31
0.1,0.168,0.3,0.01,0.005,-1520345.629796946,31
0.1,0.2,0.2992,0.01,0.005,-78392.5936615246,31
0.1,0.168,0.35600000000000004,0.01,0.005,-391115.4705346072,31
0.1,0.2,0.3,0.01,0.005,-194221.15181205072,32
0.1,0.247,0.3,0.01,0.005,-2100016.970491662,32
0.1,0.2,0.2992,0.01,0.005,-201321.2650588403,32
0.1,0.168,0.4128,0.01,0.005,-196389.7137745838,32
0.1,0.2,0.3,0.01,0.005,-461295.15647033736,33
0.1,0.247,0.3,0.01,0.005,-1590201.3617498507,33
0.1,0.2,0.35600000000000004,0.01,0.005,-210956.3782431179,33
0.1,0.168,0.4696,0.01,0.005,-282076.31638553465,33
0.1,0.2,0.3,0.01,0.005,-288157.91740566667,34
0.1,0.168,0.3,0.01,0.005,-1389853.3681762046,34
0.1,0.2,0.2992,0.01,0.005,-278474.01361161546,34
0.1,0.247,0.1856,0.01,0.005,-476079.4909668489,34
0.1,0.2,0.3,0.01,0.005,-873021.9003364696,35
0.1,0.168,0.3,0.01,0.005,-661371.228815903,35
0.1,0.2,0.2424,0.01,0.005,-147300.38322163833,35
0.1,0.247,0.1856,0.01,0.005,-241211.95868164639,35
0.1,0.2,0.3,0.01,0.005,-1784049.8647671072,36
0.1,0.247,0.3,0.01,0.005,-948418.5161595187,36
0.1,0.2,0.4128,0.01,0.005,-154516.65567340894,36
0.1,0.168,0.5264,0.01,0.005,-224717.10852280117,36
0.1,0.2,0.3,0.01,0.005,-1005287.4549157084,37
0.1,0.168,0.3,0.01,0.005,-737373.9563598172,37
0.1,0.2,0.2424,0.01,0.005,-183629.1690689599,37
0.1,0.247,0.1856,0.01,0.005,-235846.67091913303,37
0.1,0.2,0.3,0.01,0.005,-87263.34166476919,38
0.1,0.168,0.3,0.01,0.005,-1520955.0449866625,38
0.1,0.2,0.2992,0.01,0.005,-84349.41916728044,38
0.1,0.168,0.35600000000000004,0.01,0.005,-415614.2536903413,38
0.1,0.2,0.3,0.01,0.005,-138462.7299865224,39
0.1,0.168,0.3,0.01,0.005,-1265298.772757987,39
0.1,0.2,0.2992,0.01,0.005,-132879.32268664837,39
0.1,0.168,0.35600000000000004,0.01,0.005,-323914.7706365389,39
0.1,0.2,0.3,0.01,0.005,-98919.1065990314,40
0.1,0.168,0.3,0.01,0.005,-2086590.2778901046,40
0.1,0.2,0.2992,0.01,0.005,-102353.49458434305,40
0.1,0.168,0.4128,0.01,0.005,-284350.57323229767,40
0.1,0.2,0.3,0.01,0.005,-111529.44367041849,41
0.1,0.168,0.3,0.01,0.005,-1648321.5329798053,41
0.1,0.2,0.2992,0.01,0.005,-107412.4601544469,41
0.1,0.168,0.35600000000000004,0.01,0.005,-570980.2630048555,41
0.1,0.2,0.3,0.01,0.005,-438138.97894316737,42
0.1,0.247,0.3,0.01,0.005,-1542422.2518771247,42
0.1,0.2,0.35600000000000004,0.01,0.005,-174109.18619196792,42
0.1,0.168,0.4696,0.01,0.005,-265022.5932660731,42
0.1,0.2,0.3,0.01,0.005,-122353.92532446158,43
0.1,0.168,0.3,0.01,0.005,-2141965.8366389563,43
0.1,0.2,0.2992,0.01,0.005,-124293.33179228954,43
0.1,0.168,0.4128,0.01,0.005,-496676.5268776244,43
0.1,0.2,0.3,0.01,0.005,-222983.9813735148,44
0.1,0.168,0.3,0.01,0.005,-2233206.3145954325,44
0.1,0.2,0.2992,0.01,0.005,-228259.59774827183,44
0.1,0.168,0.4128,0.01,0.005,-240440.2786283113,44
0.1,0.2,0.3,0.01,0.005,-282162.57817011175,45
0.1,0.247,0.3,0.01,0.005,-1603814.5440434713,45
0.1,0.2,0.35600000000000004,0.01,0.005,-215010.38225545658,45
0.1,0.168,0.4128,0.01,0.005,-372976.3533122405,45
0.1,0.2,0.3,0.01,0.005,-1248326.3373885704,46
0.1,0.247,0.3,0.01,0.005,-1588135.2835947077,46
0.1,0.2,0.35600000000000004,0.01,0.005,-459864.635645362,46
0.1,0.168,0.5264,0.01,0.005,-250769.5961050003,46
0.1,0.2,0.3,0.01,0.005,-182601.43062869518,47
0.1,0.168,0.3,0.01,0.005,-1198755.624989392,47
0.1,0.2,0.2992,0.01,0.005,-175438.45548341496,47
0.1,0.168,0.35600000000000004,0.01,0.005,-357101.5160055219,47
0.1,0.2,0.3,0.01,0.005,-114994.88044310553,48
0.1,0.168,0.3,0.01,0.005,-1871882.8340389885,48
0.1,0.2,0.2992,0.01,0.005,-115175.87571098247,48
0.1,0.168,0.4128,0.01,0.005,-441926.5903651221,48
0.1,0.2,0.3,0.01,0.005,-234559.73221241432,49
0.1,0.247,0.3,0.01,0.005,-2016727.0789963289,49
0.1,0.2,0.2992,0.01,0.005,-240782.65156336196,49
0.1,0.168,0.4128,0.01,0.005,-398088.8395682233,49
0.1,0.2,0.3,0.01,0.005,-415500.519621891,50
0.1,0.247,0.3,0.01,0.005,-1851360.235555465,50
0.1,0.2,0.35600000000000004,0.01,0.005,-250556.29789457508,50
0.1,0.168,0.4128,0.01,0.005,-214619.42618579481,50
