a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-54291.16209489117,76
0.1,0.168,0.3,0.01,0.005,-498876.9282236149,76
0.1,0.2,0.2992,0.01,0.005,-55207.69430389152,76
0.1,0.168,0.4128,0.01,0.005,-76194.24516924679,76
0.1,0.2,0.3,0.01,0.005,-97252.563151602,77
0.1,0.247,0.3,0.01,0.005,-480905.3318025525,77
0.1,0.2,0.35600000000000004,0.01,0.005,-95428.09242347477,77
0.1,0.168,0.4696,0.01,0.005,-104529.36395979974,77
0.1,0.2,0.3,0.01,0.005,-88550.42179922141,78
0.1,0.247,0.3,0.01,0.005,-401323.06590322265,78
0.1,0.2,0.35600000000000004,0.01,0.005,-68324.47700464923,78
0.1,0.168,0.4696,0.01,0.005,-114877.46820917365,78
0.1,0.2,0.3,0.01,0.005,-273335.82866054453,79
0.1,0.168,0.3,0.01,0.005,-177036.03481165244,79
0.1,0.2,0.2424,0.01,0.005,-48037.397469236166,79
0.1,0.247,0.1856,0.01,0.005,-79399.37204651425,79
0.1,0.2,0.3,0.01,0.005,-124589.00098393364,80
0.1,0.247,0.3,0.01,0.005,-266703.7140094049,80
0.1,0.2,0.35600000000000004,0.01,0.005,-56245.28722520776,80
0.1,0.247,0.2424,0.01,0.005,-105819.09641796688,80
0.1,0.2,0.3,0.01,0.005,-75137.90923545267,81
0.1,0.247,0.3,0.01,0.005,-346805.42333726096,81
0.1,0.2,0.35600000000000004,0.01,0.005,-62555.20055473804,81
0.1,0.247,0.2424,0.01,0.005,-112187.6801716622,81
0.1,0.2,0.3,0.01,0.005,-61992.59584692202,82
0.1,0.168,0.3,0.01,0.005,-286812.68652650696,82
0.1,0.2,0.2992,0.01,0.005,-61055.905347281485,82
0.1,0.168,0.35600000000000004,0.01,0.005,-71917.7335919025,82
0.1,0.2,0.3,0.01,0.005,-250994.45944985372,83
0.1,0.168,0.3,0.01,0.005,-139544.25591765504,83
0.1,0.2,0.2424,0.01,0.005,-42598.34367658657,83
0.1,0.247,0.1856,0.01,0.005,-111286.42765565102,83
0.1,0.2,0.3,0.01,0.005,-109031.60462907108,84
0.1,0.168,0.3,0.01,0.005,-365647.5922510887,84
0.1,0.2,0.2992,0.01,0.005,-107917.6532349883,84
0.1,0.168,0.35600000000000004,0.01,0.005,-153911.6659958257,84
0.1,0.2,0.3,0.01,0.005,-163544.8666904697,85
0.1,0.168,0.3,0.01,0.005,-142532.16372473998,85
0.1,0.2,0.2424,0.01,0.005,-94563.25117117872,85
0.1,0.168,0.35600000000000004,0.01,0.005,-68452.59429162738,85
0.1,0.2,0.3,0.01,0.005,-155037.38374077345,86
0.1,0.247,0.3,0.01,0.005,-407810.0763204864,86
0.1,0.2,0.35600000000000004,0.01,0.005,-70799.37592185948,86
0.1,0.168,0.4696,0.01,0.005,-64089.49549665976,86
