a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-239163.94693275838,76
0.1,0.247,0.3,0.01,0.005,-2067668.6860870728,76
0.1,0.2,0.2992,0.01,0.005,-243086.73117852412,76
0.1,0.247,0.2424,0.01,0.005,-569203.1620866208,76
0.1,0.2,0.3,0.01,0.005,-230043.85437994878,77
0.1,0.247,0.3,0.01,0.005,-1706006.800205633,77
0.1,0.2,0.2992,0.01,0.005,-238908.61503371413,77
0.1,0.168,0.4128,0.01,0.005,-362842.67449223506,77
0.1,0.2,0.3,0.01,0.005,-399219.46141910943,78
0.1,0.247,0.3,0.01,0.005,-1330477.835778335,78
0.1,0.2,0.35600000000000004,0.01,0.005,-121394.9980314516,78
0.1,0.168,0.4696,0.01,0.005,-377435.61247409467,78
0.1,0.2,0.3,0.01,0.005,-902493.8552900899,79
0.1,0.168,0.3,0.01,0.005,-872579.0418809538,79
0.1,0.2,0.2424,0.01,0.005,-211936.44008441173,79
0.1,0.247,0.1856,0.01,0.005,-150223.5369214153,79
0.1,0.2,0.3,0.01,0.005,-358537.4497037516,80
0.1,0.247,0.3,0.01,0.005,-1377411.4366834345,80
0.1,0.2,0.35600000000000004,0.01,0.005,-142381.69915511183,80
0.1,0.168,0.4696,0.01,0.005,-396244.7099231431,80
0.1,0.2,0.3,0.01,0.005,-199736.51371758568,81
0.1,0.247,0.3,0.01,0.005,-1690237.154283605,81
0.1,0.2,0.2992,0.01,0.005,-207805.44624053044,81
0.1,0.168,0.4128,0.01,0.005,-404973.7269126965,81
0.1,0.2,0.3,0.01,0.005,-128115.4119322555,82
0.1,0.168,0.3,0.01,0.005,-1968243.157116551,82
0.1,0.2,0.2992,0.01,0.005,-127878.65874390515,82
0.1,0.168,0.4128,0.01,0.005,-570452.0309957741,82
0.1,0.2,0.3,0.01,0.005,-562767.709378452,83
0.1,0.168,0.3,0.01,0.005,-863070.6635518948,83
0.1,0.2,0.2424,0.01,0.005,-304427.17438836576,83
0.1,0.247,0.1856,0.01,0.005,-386083.4884586468,83
0.1,0.2,0.3,0.01,0.005,-189487.42319589443,84
0.1,0.168,0.3,0.01,0.005,-1322356.3305164068,84
0.1,0.2,0.2992,0.01,0.005,-183573.0272728576,84
0.1,0.168,0.35600000000000004,0.01,0.005,-402599.043210273,84
0.1,0.2,0.3,0.01,0.005,-367666.03220665955,85
0.1,0.168,0.3,0.01,0.005,-1031173.6971495069,85
0.1,0.2,0.2992,0.01,0.005,-355185.3867856775,85
0.1,0.168,0.35600000000000004,0.01,0.005,-478933.49571498175,85
0.1,0.2,0.3,0.01,0.005,-388365.568380864,86
0.1,0.247,0.3,0.01,0.005,-1578102.8202712869,86
0.1,0.2,0.35600000000000004,0.01,0.005,-168283.73485187677,86
0.1,0.168,0.4696,0.01,0.005,-266427.3366158469,86
0.1,0.2,0.3,0.01,0.005,-557437.984741429,87
0.1,0.168,0.3,0.01,0.005,-1088168.1135870414,87
0.1,0.2,0.2424,0.01,0.005,-363725.1299286686,87
0.1,0.247,0.1856,0.01,0.005,-250845.090262449,87
0.1,0.2,0.3,0.01,0.005,-154204.99418577182,88
0.1,0.168,0.3,0.01,0.005,-1642770.8938660347,88
0.1,0.2,0.2992,0.01,0.005,-149385.49248224855,88
0.1,0.168,0.35600000000000004,0.01,0.005,-595923.8173967649,88
0.1,0.2,0.3,0.01,0.005,-1446411.5604942702,89
0.1,0.168,0.3,0.01,0.005,-715960.391462675,89
0.1,0.2,0.2424,0.01,0.005,-242667.80024934048,89
0.1,0.247,0.1856,0.01,0.005,-347739.08728479856,89
0.1,0.2,0.3,0.01,0.005,-102376.97662677594,90
0.1,0.247,0.3,0.01,0.005,-2058811.0491031427,90
0.1,0.2,0.2992,0.01,0.005,-106961.25604351184,90
0.1,0.168,0.4128,0.01,0.005,-432017.3380752441,90
0.1,0.2,0.3,0.01,0.005,-98525.39585825082,91
0.1,0.168,0.3,0.01,0.005,-1909863.996876265,91
0.1,0.2,0.2992,0.01,0.005,-100575.58099705563,91
0.1,0.168,0.4128,0.01,0.005,-270362.247367177,91
0.1,0.2,0.3,0.01,0.005,-908089.5877709464,92
0.1,0.168,0.3,0.01,0.005,-460763.1560675457,92
0.1,0.2,0.2424,0.01,0.005,-74132.99302872756,92
0.1,0.247,0.1856,0.01,0.005,-297158.45266170293,92
0.1,0.2,0.3,0.01,0.005,-929777.4887802574,93
0.1,0.168,0.3,0.01,0.005,-926591.0167778715,93
0.1,0.2,0.2424,0.01,0.005,-227346.7213761841,93
0.1,0.247,0.1856,0.01,0.005,-114994.41304888073,93
0.1,0.2,0.3,0.01,0.005,-75426.45021389995,94
0.1,0.168,0.3,0.01,0.005,-1709757.4647139932,94
0.1,0.2,0.2992,0.01,0.005,-74065.21001440134,94
0.1,0.168,0.4128,0.01,0.005,-447963.7574446903,94
0.1,0.2,0.3,0.01,0.005,-1865849.4160789007,95
0.1,0.168,0.3,0.01,0.005,-822205.3695961073,95
