a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-3993.1259812337994,26
0.1,0.247,0.3,0.01,0.005,-5981.30953791687,26
0.1,0.2,0.2992,0.01,0.005,-3993.247696623931,26
0.1,0.247,0.1856,0.01,0.005,-3994.1646273627384,26
0.1,0.2,0.3,0.01,0.005,-4008.567789852053,27
0.1,0.168,0.3,0.01,0.005,-5414.518082896561,27
0.1,0.2,0.2424,0.01,0.005,-3965.2191714544792,27
0.1,0.247,0.1856,0.01,0.005,-3953.2512982646326,27
0.1,0.2,0.3,0.01,0.005,-4195.866611808154,28
0.1,0.168,0.3,0.01,0.005,-5879.338370139444,28
0.1,0.2,0.35600000000000004,0.01,0.005,-4003.8460189130424,28
0.1,0.168,0.64,0.01,0.005,-3143.4580746061906,28
0.1,0.2,0.3,0.01,0.005,-2966.758049069017,29
0.1,0.168,0.3,0.01,0.005,-4913.42564757069,29
0.1,0.2,0.2992,0.01,0.005,-2968.2101743058897,29
0.1,0.168,0.5264,0.01,0.005,-3177.8039000975573,29
0.1,0.2,0.3,0.01,0.005,-2551.7902636598924,30
0.1,0.247,0.3,0.01,0.005,-3269.914234372879,30
0.1,0.2,0.35600000000000004,0.01,0.005,-2364.108361034439,30
0.1,0.247,0.1856,0.01,0.005,-2415.226991499937,30
0.1,0.2,0.3,0.01,0.005,-3843.169615112264,31
0.1,0.168,0.3,0.01,0.005,-4531.268925067974,31
0.1,0.2,0.2992,0.01,0.005,-3841.0030654741076,31
0.1,0.168,0.4696,0.01,0.005,-3373.123010982223,31
0.1,0.2,0.3,0.01,0.005,-4779.280891462173,32
0.1,0.247,0.3,0.01,0.005,-6783.2900659444385,32
0.1,0.2,0.2992,0.01,0.005,-4777.960835112143,32
0.1,0.247,0.1856,0.01,0.005,-4474.838244063563,32
0.1,0.2,0.3,0.01,0.005,-4428.63995132412,33
0.1,0.247,0.3,0.01,0.005,-6415.930621977619,33
0.1,0.2,0.2992,0.01,0.005,-4430.596380516157,33
0.1,0.247,0.1856,0.01,0.005,-4642.0922527201565,33
0.1,0.2,0.3,0.01,0.005,-6263.427496463001,34
0.1,0.247,0.3,0.01,0.005,-7448.671467632748,34
0.1,0.2,0.2992,0.01,0.005,-6264.474648163745,34
0.1,0.405,0.072,0.01,0.005,-5379.083368620607,34
0.1,0.2,0.3,0.01,0.005,-5468.7221185280605,35
0.1,0.168,0.3,0.01,0.005,-4119.710246102137,35
0.1,0.2,0.1856,0.01,0.005,-4023.475255749397,35
0.1,0.168,0.2992,0.01,0.005,-4120.065837046442,35
0.1,0.2,0.3,0.01,0.005,-3746.066354514762,36
0.1,0.247,0.3,0.01,0.005,-4879.228144231567,36
0.1,0.2,0.4128,0.01,0.005,-3303.9477680782265,36
0.1,0.168,0.64,0.01,0.005,-3238.544534998057,36
0.1,0.2,0.3,0.01,0.005,-4485.55505956534,37
0.1,0.247,0.3,0.01,0.005,-5051.208158101876,37
0.1,0.2,0.35600000000000004,0.01,0.005,-4382.22675576832,37
0.1,0.247,0.1856,0.01,0.005,-3928.671656237919,37
0.1,0.2,0.3,0.01,0.005,-4753.4466966167865,38
0.1,0.247,0.3,0.01,0.005,-4960.223733674592,38
0.1,0.2,0.35600000000000004,0.01,0.005,-4421.865679578396,38
0.1,0.247,0.2424,0.01,0.005,-4302.172276646436,38
0.1,0.2,0.3,0.01,0.005,-3725.639736986794,39
0.1,0.247,0.3,0.01,0.005,-5417.168367767272,39
0.1,0.2,0.2992,0.01,0.005,-3727.8391704136716,39
0.1,0.247,0.1856,0.01,0.005,-3768.096835215888,39
