a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-399.77574892244786,1
0.1,0.247,0.3,0.01,0.005,-409.4609659572673,1
0.1,0.2,0.35600000000000004,0.01,0.005,-398.6642806755564,1
0.1,0.247,0.1856,0.01,0.005,-397.157689263783,1
0.1,0.2,0.3,0.01,0.005,-385.63163258239643,2
0.1,0.168,0.3,0.01,0.005,-391.9074423969279,2
0.1,0.2,0.2424,0.01,0.005,-383.567354732531,2
0.1,0.168,0.5831999999999999,0.01,0.005,-384.6899775373968,2
0.1,0.2,0.3,0.01,0.005,-425.3050083818164,3
0.1,0.168,0.3,0.01,0.005,-387.55433641616474,3
0.1,0.2,0.1288,0.01,0.005,-383.130048923497,3
0.1,0.168,0.2424,0.01,0.005,-383.3104592776147,3
0.1,0.2,0.3,0.01,0.005,-325.6615735384386,4
0.1,0.168,0.3,0.01,0.005,-331.48255864238604,4
0.1,0.2,0.2424,0.01,0.005,-324.01471540929344,4
0.1,0.168,0.5831999999999999,0.01,0.005,-324.68729843014165,4
0.1,0.2,0.3,0.01,0.005,-364.1471203645914,5
0.1,0.247,0.3,0.01,0.005,-367.8198450103751,5
0.1,0.2,0.4128,0.01,0.005,-361.5759348525387,5
0.1,0.247,0.1856,0.01,0.005,-360.7934825579499,5
0.1,0.2,0.3,0.01,0.005,-470.6686507157963,6
0.1,0.168,0.3,0.01,0.005,-470.11688933137617,6
0.1,0.2,0.2424,0.01,0.005,-466.85965047621124,6
0.1,0.168,0.4696,0.01,0.005,-466.03976521666704,6
0.1,0.2,0.3,0.01,0.005,-557.7977056029897,7
0.1,0.247,0.3,0.01,0.005,-556.7615255817752,7
0.1,0.2,0.5831999999999999,0.01,0.005,-551.2214740570269,7
0.1,0.247,0.1856,0.01,0.005,-552.0141433634753,7
0.1,0.2,0.3,0.01,0.005,-337.49173273677553,8
0.1,0.247,0.3,0.01,0.005,-353.50883045617,8
0.1,0.2,0.35600000000000004,0.01,0.005,-337.4244391546708,8
0.1,0.247,0.1856,0.01,0.005,-338.6120259989829,8
0.1,0.2,0.3,0.01,0.005,-322.3929312059317,9
0.1,0.247,0.3,0.01,0.005,-331.340134777687,9
0.1,0.2,0.4696,0.01,0.005,-320.00953563486945,9
0.1,0.326,0.072,0.01,0.005,-320.2328600698375,9
0.1,0.2,0.3,0.01,0.005,-305.95984910935744,10
0.1,0.247,0.3,0.01,0.005,-291.13720123971524,10
0.1,0.2,0.64,0.01,0.005,-292.01895772586613,10
0.1,0.247,0.2424,0.01,0.005,-290.61114410654244,10
0.1,0.2,0.3,0.01,0.005,-437.2665104279211,11
0.1,0.168,0.3,0.01,0.005,-394.92435662046023,11
0.1,0.2,0.1288,0.01,0.005,-383.1424272409378,11
0.1,0.247,0.072,0.01,0.005,-372.2148010902863,11
0.1,0.2,0.3,0.01,0.005,-436.7781120623299,12
0.1,0.247,0.3,0.01,0.005,-420.909567421763,12
0.1,0.2,0.64,0.01,0.005,-423.1369352919005,12
0.1,0.247,0.2424,0.01,0.005,-420.18212563084745,12
0.1,0.2,0.3,0.01,0.005,-447.62331046777365,13
0.1,0.168,0.3,0.01,0.005,-404.38034514363295,13
0.1,0.2,0.1288,0.01,0.005,-390.87791660893123,13
