a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-208812.87661170439,1
0.1,0.247,0.3,0.01,0.005,-1670213.1314567085,1
0.1,0.2,0.2992,0.01,0.005,-216989.79164183748,1
0.1,0.168,0.4128,0.01,0.005,-450804.42163717176,1
0.1,0.2,0.3,0.01,0.005,-3022462.5611317134,2
0.1,0.168,0.3,0.01,0.005,-1327277.0003472543,2
0.1,0.2,0.2424,0.01,0.005,-744067.22112497,2
0.1,0.247,0.1856,0.01,0.005,-668160.263072332,2
0.1,0.2,0.3,0.01,0.005,-462736.1174495608,3
0.1,0.247,0.3,0.01,0.005,-1053512.7919855951,3
0.1,0.2,0.35600000000000004,0.01,0.005,-81703.58889861131,3
0.1,0.247,0.2424,0.01,0.005,-428750.2308856413,3
0.1,0.2,0.3,0.01,0.005,-113998.27940291638,4
0.1,0.168,0.3,0.01,0.005,-2172240.829096915,4
0.1,0.2,0.2992,0.01,0.005,-117462.14910296434,4
0.1,0.168,0.4128,0.01,0.005,-368674.1632222808,4
0.1,0.2,0.3,0.01,0.005,-278074.04449106083,5
0.1,0.168,0.3,0.01,0.005,-1217600.1545916882,5
0.1,0.2,0.2992,0.01,0.005,-267486.13243082655,5
0.1,0.168,0.35600000000000004,0.01,0.005,-517989.71892267256,5
0.1,0.2,0.3,0.01,0.005,-393900.5828735111,6
0.1,0.247,0.3,0.01,0.005,-1384080.4262638623,6
0.1,0.2,0.35600000000000004,0.01,0.005,-134565.2692694525,6
0.1,0.168,0.4696,0.01,0.005,-354794.2957306351,6
0.1,0.2,0.3,0.01,0.005,-823517.0710966632,7
0.1,0.247,0.3,0.01,0.005,-1149016.0553723164,7
0.1,0.2,0.35600000000000004,0.01,0.005,-207704.59592211715,7
0.1,0.168,0.4696,0.01,0.005,-375233.8681565323,7
0.1,0.2,0.3,0.01,0.005,-1751603.5842005312,8
0.1,0.168,0.3,0.01,0.005,-676412.9023483082,8
0.1,0.2,0.2424,0.01,0.005,-229580.16520050363,8
0.1,0.247,0.1856,0.01,0.005,-352774.88712742383,8
0.1,0.2,0.3,0.01,0.005,-257912.83495414094,9
0.1,0.247,0.3,0.01,0.005,-1937969.271330797,9
0.1,0.2,0.2992,0.01,0.005,-266705.7193125941,9
0.1,0.168,0.4128,0.01,0.005,-188573.69841506088,9
0.1,0.2,0.3,0.01,0.005,-89801.96335985069,10
0.1,0.168,0.3,0.01,0.005,-2057949.8303415412,10
