a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-4257.286724590889,51
0.1,0.168,0.3,0.01,0.005,-6348.3295391233805,51
0.1,0.2,0.2992,0.01,0.005,-4257.965413275332,51
0.1,0.247,0.1856,0.01,0.005,-4503.351195895586,51
0.1,0.2,0.3,0.01,0.005,-2595.833064772619,52
0.1,0.247,0.3,0.01,0.005,-3965.422877984582,52
0.1,0.2,0.35600000000000004,0.01,0.005,-2510.972504171551,52
0.1,0.247,0.1856,0.01,0.005,-2781.0257796214446,52
0.1,0.2,0.3,0.01,0.005,-6675.770532917563,53
0.1,0.168,0.3,0.01,0.005,-4754.234893629247,53
0.1,0.2,0.1856,0.01,0.005,-4490.26192716503,53
0.1,0.247,0.1288,0.01,0.005,-4657.2654220214945,53
0.1,0.2,0.3,0.01,0.005,-4426.410293719207,54
0.1,0.247,0.3,0.01,0.005,-5267.3967814594425,54
0.1,0.2,0.35600000000000004,0.01,0.005,-4278.57766752499,54
0.1,0.247,0.1856,0.01,0.005,-4301.676593621055,54
0.1,0.2,0.3,0.01,0.005,-4197.284169637674,55
0.1,0.168,0.3,0.01,0.005,-3995.7084129730547,55
0.1,0.2,0.2424,0.01,0.005,-3666.481949922623,55
0.1,0.168,0.35600000000000004,0.01,0.005,-3709.513796727111,55
0.1,0.2,0.3,0.01,0.005,-3004.634009399708,56
0.1,0.247,0.3,0.01,0.005,-4981.697866297263,56
0.1,0.2,0.2992,0.01,0.005,-3006.8753192469135,56
0.1,0.247,0.1856,0.01,0.005,-3218.631988419135,56
0.1,0.2,0.3,0.01,0.005,-5477.719829233618,57
0.1,0.168,0.3,0.01,0.005,-6412.247410947972,57
0.1,0.2,0.2424,0.01,0.005,-4867.491664417661,57
0.1,0.247,0.1288,0.01,0.005,-4692.739021546432,57
0.1,0.2,0.3,0.01,0.005,-5924.279726928653,58
0.1,0.168,0.3,0.01,0.005,-3039.065838339704,58
0.1,0.2,0.1856,0.01,0.005,-2525.296752627201,58
0.1,0.168,0.2424,0.01,0.005,-2689.5760684691286,58
0.1,0.2,0.3,0.01,0.005,-3519.1924648486347,59
0.1,0.168,0.3,0.01,0.005,-5179.519334780221,59
0.1,0.2,0.2992,0.01,0.005,-3517.0065947532603,59
0.1,0.247,0.1856,0.01,0.005,-3577.483047682964,59
0.1,0.2,0.3,0.01,0.005,-3378.267037629057,60
0.1,0.168,0.3,0.01,0.005,-4615.318288630146,60
0.1,0.2,0.2424,0.01,0.005,-3335.756658208845,60
0.1,0.247,0.1856,0.01,0.005,-3372.929398625069,60
0.1,0.2,0.3,0.01,0.005,-4463.039564236806,61
0.1,0.168,0.3,0.01,0.005,-5842.180264033963,61
0.1,0.2,0.35600000000000004,0.01,0.005,-4328.382999787628,61
0.1,0.168,0.64,0.01,0.005,-3255.6104112951584,61
0.1,0.2,0.3,0.01,0.005,-6167.538817379167,62
0.1,0.247,0.3,0.01,0.005,-7313.789274330983,62
0.1,0.2,0.2992,0.01,0.005,-6167.94635466065,62
0.1,0.405,0.072,0.01,0.005,-4143.262095995449,62
0.1,0.2,0.3,0.01,0.005,-6531.354763051845,63
0.1,0.247,0.3,0.01,0.005,-8438.972893278062,63
0.1,0.2,0.2992,0.01,0.005,-6530.593653616241,63
0.1,0.247,0.1856,0.01,0.005,-6326.741238696253,63
0.1,0.2,0.3,0.01,0.005,-3911.326908026903,64
0.1,0.168,0.3,0.01,0.005,-4173.402330493043,64
0.1,0.2,0.2424,0.01,0.005,-3404.8164337730154,64
0.1,0.247,0.1288,0.01,0.005,-3298.4056783281994,64
0.1,0.2,0.3,0.01,0.005,-3551.9980560391878,65
0.1,0.168,0.3,0.01,0.005,-3726.3957541276072,65
0.1,0.2,0.2424,0.01,0.005,-3142.8898482034247,65
0.1,0.168,0.35600000000000004,0.01,0.005,-3391.123147909627,65
0.1,0.2,0.3,0.01,0.005,-5906.868950781348,66
0.1,0.247,0.3,0.01,0.005,-5151.268164417191,66
0.1,0.2,0.5264,0.01,0.005,-4315.39769751005,66
0.1,0.168,0.64,0.01,0.005,-5048.801088541571,66
0.1,0.2,0.3,0.01,0.005,-4502.351099688077,67
0.1,0.168,0.3,0.01,0.005,-3574.5940833197615,67
0.1,0.2,0.2424,0.01,0.005,-3839.5174896400736,67
0.1,0.168,0.35600000000000004,0.01,0.005,-3428.3039256985526,67
0.1,0.2,0.3,0.01,0.005,-4295.270633124344,68
0.1,0.168,0.3,0.01,0.005,-6149.9450352385475,68
0.1,0.2,0.2992,0.01,0.005,-4295.994463874996,68
0.1,0.168,0.5264,0.01,0.005,-4521.601875266779,68
0.1,0.2,0.3,0.01,0.005,-6085.81774471361,69
0.1,0.247,0.3,0.01,0.005,-8013.062623795455,69
0.1,0.2,0.2992,0.01,0.005,-6086.787123852556,69
0.1,0.247,0.1856,0.01,0.005,-6111.951077921365,69
0.1,0.2,0.3,0.01,0.005,-7203.638867806719,70
0.1,0.168,0.3,0.01,0.005,-6454.165680528342,70
0.1,0.2,0.2424,0.01,0.005,-7165.461796374604,70
0.1,0.168,0.4696,0.01,0.005,-5492.371617813718,70
0.1,0.2,0.3,0.01,0.005,-4371.187611734541,71
0.1,0.168,0.3,0.01,0.005,-5819.239739563265,71
0.1,0.2,0.2992,0.01,0.005,-4369.004852037795,71
0.1,0.247,0.1856,0.01,0.005,-4549.056846249654,71
0.1,0.2,0.3,0.01,0.005,-5336.367721785872,72
0.1,0.168,0.3,0.01,0.005,-5137.267935953896,72
0.1,0.2,0.2424,0.01,0.005,-4987.8458773130205,72
0.1,0.168,0.4128,0.01,0.005,-4682.609080071997,72
0.1,0.2,0.3,0.01,0.005,-3478.7659850820583,73
0.1,0.168,0.3,0.01,0.005,-3286.9818622759894,73
0.1,0.2,0.2424,0.01,0.005,-3002.074297354145,73
0.1,0.168,0.35600000000000004,0.01,0.005,-2996.2165490672146,73
0.1,0.2,0.3,0.01,0.005,-6337.233896894821,74
0.1,0.168,0.3,0.01,0.005,-4956.475183571836,74
0.1,0.2,0.1856,0.01,0.005,-4783.785111871846,74
0.1,0.247,0.1288,0.01,0.005,-4860.25236034637,74
0.1,0.2,0.3,0.01,0.005,-3958.939612870892,75
0.1,0.168,0.3,0.01,0.005,-5543.3554681739015,75
0.1,0.2,0.2992,0.01,0.005,-3960.280556676715,75
0.1,0.168,0.5831999999999999,0.01,0.005,-3689.7612657106542,75
