a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-8043.053611369052,1
0.1,0.168,0.3,0.01,0.005,-8352.979162180698,1
0.1,0.2,0.2992,0.01,0.005,-8043.41360032687,1
0.1,0.168,0.64,0.01,0.005,-6163.592225297188,1
0.1,0.2,0.3,0.01,0.005,-7941.403971291391,2
0.1,0.168,0.3,0.01,0.005,-6347.493522206523,2
0.1,0.2,0.1856,0.01,0.005,-5237.850355201906,2
0.1,0.247,0.1288,0.01,0.005,-4828.1591093489305,2
0.1,0.2,0.3,0.01,0.005,-4367.075125317106,3
0.1,0.247,0.3,0.01,0.005,-5286.271927554709,3
0.1,0.2,0.2992,0.01,0.005,-4370.037336077301,3
0.1,0.247,0.1856,0.01,0.005,-3743.352181285069,3
0.1,0.2,0.3,0.01,0.005,-4387.735109071754,4
0.1,0.247,0.3,0.01,0.005,-6070.868046784262,4
0.1,0.2,0.2992,0.01,0.005,-4389.691814998846,4
0.1,0.247,0.1856,0.01,0.005,-4363.539198600981,4
0.1,0.2,0.3,0.01,0.005,-5506.036448447342,5
0.1,0.168,0.3,0.01,0.005,-6885.5498642935345,5
0.1,0.2,0.2424,0.01,0.005,-5411.184510169378,5
0.1,0.247,0.1856,0.01,0.005,-5378.539120256556,5
0.1,0.2,0.3,0.01,0.005,-3323.630906079955,6
0.1,0.247,0.3,0.01,0.005,-3737.3867741854074,6
0.1,0.2,0.4128,0.01,0.005,-2852.639493698242,6
0.1,0.247,0.2424,0.01,0.005,-3187.345491804506,6
0.1,0.2,0.3,0.01,0.005,-4952.945062898354,7
0.1,0.247,0.3,0.01,0.005,-6156.159708829535,7
0.1,0.2,0.4128,0.01,0.005,-4402.933266740857,7
0.1,0.168,0.64,0.01,0.005,-3940.3878346088277,7
0.1,0.2,0.3,0.01,0.005,-5784.532253319924,8
0.1,0.168,0.3,0.01,0.005,-4304.737901476636,8
0.1,0.2,0.1856,0.01,0.005,-3883.11530775016,8
0.1,0.247,0.1288,0.01,0.005,-3795.9415009072036,8
0.1,0.2,0.3,0.01,0.005,-5853.221844357512,9
0.1,0.247,0.3,0.01,0.005,-4348.359917165845,9
0.1,0.2,0.5264,0.01,0.005,-4376.065627556609,9
0.1,0.247,0.2992,0.01,0.005,-4346.077944391772,9
0.1,0.2,0.3,0.01,0.005,-3736.500637942177,10
0.1,0.168,0.3,0.01,0.005,-4744.118662484438,10
0.1,0.2,0.2424,0.01,0.005,-3558.9389239840007,10
0.1,0.247,0.1856,0.01,0.005,-3791.5043839917794,10
0.1,0.2,0.3,0.01,0.005,-4056.39340347248,11
0.1,0.168,0.3,0.01,0.005,-4863.691285922101,11
0.1,0.2,0.2992,0.01,0.005,-4056.7352784974996,11
0.1,0.168,0.5264,0.01,0.005,-3215.119979423809,11
0.1,0.2,0.3,0.01,0.005,-5096.719878459369,12
0.1,0.247,0.3,0.01,0.005,-5205.909729884165,12
0.1,0.2,0.35600000000000004,0.01,0.005,-4727.841197296386,12
0.1,0.247,0.2424,0.01,0.005,-4650.326788775114,12
0.1,0.2,0.3,0.01,0.005,-4984.760743484819,13
0.1,0.247,0.3,0.01,0.005,-4234.782223313646,13
0.1,0.2,0.4696,0.01,0.005,-4265.639541447402,13
0.1,0.405,0.072,0.01,0.005,-3569.0877154295463,13
0.1,0.2,0.3,0.01,0.005,-3546.4158184221455,14
0.1,0.247,0.3,0.01,0.005,-3331.168241760016,14
0.1,0.2,0.4696,0.01,0.005,-2458.913238002521,14
0.1,0.168,0.64,0.01,0.005,-2951.6387747291833,14
0.1,0.2,0.3,0.01,0.005,-5500.076955218272,15
0.1,0.168,0.3,0.01,0.005,-6381.827644560914,15
0.1,0.2,0.2992,0.01,0.005,-5497.718241847612,15
0.1,0.168,0.4128,0.01,0.005,-5372.960869221197,15
0.1,0.2,0.3,0.01,0.005,-5362.919027655741,16
0.1,0.168,0.3,0.01,0.005,-4793.848155412293,16
0.1,0.2,0.2424,0.01,0.005,-4557.4805159964535,16
0.1,0.168,0.35600000000000004,0.01,0.005,-4726.1217207067975,16
0.1,0.2,0.3,0.01,0.005,-4909.596847751874,17
0.1,0.168,0.3,0.01,0.005,-5504.065022359157,17
0.1,0.2,0.2992,0.01,0.005,-4907.003478227206,17
0.1,0.168,0.4696,0.01,0.005,-4500.334385267721,17
0.1,0.2,0.3,0.01,0.005,-5825.917576912074,18
0.1,0.168,0.3,0.01,0.005,-5212.268115038493,18
0.1,0.2,0.1856,0.01,0.005,-4152.822338947861,18
0.1,0.247,0.1288,0.01,0.005,-3492.539152586176,18
0.1,0.2,0.3,0.01,0.005,-5000.163786962131,19
0.1,0.168,0.3,0.01,0.005,-4751.6209241756815,19
0.1,0.2,0.2424,0.01,0.005,-4449.696870342706,19
0.1,0.168,0.35600000000000004,0.01,0.005,-4541.22050014306,19
0.1,0.2,0.3,0.01,0.005,-3198.0429541387853,20
0.1,0.247,0.3,0.01,0.005,-3676.161258434876,20
0.1,0.2,0.35600000000000004,0.01,0.005,-2877.150381894138,20
0.1,0.247,0.2424,0.01,0.005,-2997.927396818738,20
0.1,0.2,0.3,0.01,0.005,-4241.932347490529,21
0.1,0.168,0.3,0.01,0.005,-5122.111439272506,21
0.1,0.2,0.2424,0.01,0.005,-3991.4467816257984,21
0.1,0.247,0.1856,0.01,0.005,-4274.489111555771,21
0.1,0.2,0.3,0.01,0.005,-4601.929369707144,22
0.1,0.247,0.3,0.01,0.005,-3978.97805636072,22
0.1,0.2,0.4128,0.01,0.005,-3976.378575959973,22
0.1,0.247,0.2424,0.01,0.005,-3578.0618554839457,22
0.1,0.2,0.3,0.01,0.005,-4617.616775808866,23
0.1,0.168,0.3,0.01,0.005,-5717.826117762043,23
0.1,0.2,0.2424,0.01,0.005,-4460.863949832143,23
0.1,0.247,0.1856,0.01,0.005,-4700.299808631564,23
0.1,0.2,0.3,0.01,0.005,-5704.070107228119,24
0.1,0.168,0.3,0.01,0.005,-6327.878715581395,24
0.1,0.2,0.2424,0.01,0.005,-5089.213739525446,24
0.1,0.247,0.1288,0.01,0.005,-4573.647771348487,24
0.1,0.2,0.3,0.01,0.005,-5168.300134601228,25
0.1,0.168,0.3,0.01,0.005,-2481.8918611167096,25
0.1,0.2,0.1856,0.01,0.005,-2778.4050511112846,25
0.1,0.168,0.2992,0.01,0.005,-2478.425592196725,25
