a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-15252.500172599115,26
0.1,0.168,0.3,0.01,0.005,-17158.831594586063,26
0.1,0.2,0.2424,0.01,0.005,-14744.154313173456,26
0.1,0.168,0.35600000000000004,0.01,0.005,-13702.322862437142,26
0.1,0.2,0.3,0.01,0.005,-13929.747369397848,27
0.1,0.168,0.3,0.01,0.005,-14988.161469178372,27
0.1,0.2,0.2424,0.01,0.005,-11131.69196741118,27
0.1,0.168,0.35600000000000004,0.01,0.005,-13182.799985312098,27
0.1,0.2,0.3,0.01,0.005,-10307.447715347967,28
0.1,0.247,0.3,0.01,0.005,-14353.06941504551,28
0.1,0.2,0.35600000000000004,0.01,0.005,-9141.743374457057,28
0.1,0.247,0.2424,0.01,0.005,-9295.80485803276,28
0.1,0.2,0.3,0.01,0.005,-9822.462136656442,29
0.1,0.247,0.3,0.01,0.005,-12214.292326004781,29
0.1,0.2,0.35600000000000004,0.01,0.005,-7126.016595168927,29
0.1,0.247,0.2424,0.01,0.005,-9224.033398783024,29
0.1,0.2,0.3,0.01,0.005,-6911.536902427098,30
0.1,0.168,0.3,0.01,0.005,-18343.702594105445,30
0.1,0.2,0.2992,0.01,0.005,-6909.854538749502,30
0.1,0.247,0.1856,0.01,0.005,-8254.548751606595,30
0.1,0.2,0.3,0.01,0.005,-10106.474537596278,31
0.1,0.247,0.3,0.01,0.005,-21618.531488892193,31
0.1,0.2,0.2992,0.01,0.005,-10119.953171242929,31
0.1,0.247,0.1856,0.01,0.005,-11552.080710186818,31
0.1,0.2,0.3,0.01,0.005,-8751.30950883865,32
0.1,0.247,0.3,0.01,0.005,-16605.798557016933,32
0.1,0.2,0.35600000000000004,0.01,0.005,-8143.187476263462,32
0.1,0.247,0.2424,0.01,0.005,-10843.00737792861,32
0.1,0.2,0.3,0.01,0.005,-11885.335602039502,33
0.1,0.168,0.3,0.01,0.005,-20629.35288048308,33
0.1,0.2,0.2992,0.01,0.005,-11864.246153983679,33
0.1,0.247,0.1856,0.01,0.005,-12891.65827986721,33
0.1,0.2,0.3,0.01,0.005,-9984.964634154194,34
0.1,0.247,0.3,0.01,0.005,-20269.48707029729,34
0.1,0.2,0.2992,0.01,0.005,-9973.153972089747,34
0.1,0.247,0.1856,0.01,0.005,-6064.599162722496,34
0.1,0.2,0.3,0.01,0.005,-23017.872755486518,35
0.1,0.168,0.3,0.01,0.005,-25598.188098960018,35
0.1,0.2,0.2424,0.01,0.005,-18517.126367650595,35
0.1,0.247,0.1856,0.01,0.005,-18352.219519636223,35
0.1,0.2,0.3,0.01,0.005,-23730.68587206209,36
0.1,0.247,0.3,0.01,0.005,-16263.206382549486,36
0.1,0.2,0.5831999999999999,0.01,0.005,-8876.659136558816,36
0.1,0.168,0.64,0.01,0.005,-12596.040498597831,36
0.1,0.2,0.3,0.01,0.005,-12110.957632392778,37
0.1,0.247,0.3,0.01,0.005,-22389.142598602823,37
0.1,0.2,0.2992,0.01,0.005,-12100.891938830557,37
0.1,0.247,0.1856,0.01,0.005,-8555.783556052895,37
0.1,0.2,0.3,0.01,0.005,-11201.974943129646,38
0.1,0.168,0.3,0.01,0.005,-13303.396491041402,38
0.1,0.2,0.2424,0.01,0.005,-9949.855215668831,38
0.1,0.168,0.4128,0.01,0.005,-10213.670769108845,38
0.1,0.2,0.3,0.01,0.005,-7017.263379786738,39
0.1,0.168,0.3,0.01,0.005,-14169.195139126381,39
0.1,0.2,0.2992,0.01,0.005,-6985.708956063505,39
0.1,0.247,0.1856,0.01,0.005,-7825.38973184074,39
0.1,0.2,0.3,0.01,0.005,-7257.514076326259,40
0.1,0.168,0.3,0.01,0.005,-13845.854072123699,40
0.1,0.2,0.2992,0.01,0.005,-7254.739818030916,40
0.1,0.168,0.4696,0.01,0.005,-5778.913506592282,40
0.1,0.2,0.3,0.01,0.005,-9653.732478152371,41
0.1,0.168,0.3,0.01,0.005,-20601.83011377565,41
0.1,0.2,0.2992,0.01,0.005,-9668.762133061697,41
0.1,0.168,0.4696,0.01,0.005,-9681.199209032266,41
0.1,0.2,0.3,0.01,0.005,-17449.580163196384,42
0.1,0.247,0.3,0.01,0.005,-27077.867126969024,42
0.1,0.2,0.4128,0.01,0.005,-14777.137982488866,42
0.1,0.168,0.64,0.01,0.005,-10423.021313657639,42
0.1,0.2,0.3,0.01,0.005,-6179.25859386562,43
0.1,0.168,0.3,0.01,0.005,-17419.323833538125,43
0.1,0.2,0.2992,0.01,0.005,-6187.966136077178,43
0.1,0.168,0.4696,0.01,0.005,-7616.764841599326,43
0.1,0.2,0.3,0.01,0.005,-13233.781782972259,44
0.1,0.247,0.3,0.01,0.005,-24557.003553450333,44
0.1,0.2,0.35600000000000004,0.01,0.005,-10989.789374056983,44
0.1,0.168,0.5831999999999999,0.01,0.005,-7053.619113022231,44
0.1,0.2,0.3,0.01,0.005,-13014.307426238998,45
0.1,0.247,0.3,0.01,0.005,-9551.2000257469,45
0.1,0.2,0.4128,0.01,0.005,-6400.478961766146,45
0.1,0.247,0.2992,0.01,0.005,-9522.728353687848,45
0.1,0.2,0.3,0.01,0.005,-19346.42001598644,46
0.1,0.168,0.3,0.01,0.005,-26810.44992105614,46
0.1,0.2,0.35600000000000004,0.01,0.005,-18740.65011888339,46
0.1,0.168,0.5264,0.01,0.005,-12698.297722031157,46
0.1,0.2,0.3,0.01,0.005,-14672.028329031982,47
0.1,0.168,0.3,0.01,0.005,-11737.796727498066,47
0.1,0.2,0.2424,0.01,0.005,-11069.235828418046,47
0.1,0.168,0.35600000000000004,0.01,0.005,-10692.079136799499,47
0.1,0.2,0.3,0.01,0.005,-7801.706780055019,48
0.1,0.247,0.3,0.01,0.005,-18176.81709740363,48
0.1,0.2,0.35600000000000004,0.01,0.005,-7197.469688021768,48
0.1,0.168,0.5264,0.01,0.005,-8553.96683874955,48
0.1,0.2,0.3,0.01,0.005,-6782.623700486015,49
0.1,0.247,0.3,0.01,0.005,-15866.533315821931,49
0.1,0.2,0.35600000000000004,0.01,0.005,-6104.64901194578,49
0.1,0.168,0.5264,0.01,0.005,-7920.88195505093,49
0.1,0.2,0.3,0.01,0.005,-17170.05082975355,50
0.1,0.247,0.3,0.01,0.005,-11750.421406837173,50
0.1,0.2,0.4696,0.01,0.005,-9300.527123701095,50
0.1,0.247,0.2992,0.01,0.005,-11729.19001892184,50
