a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-48650.99491935696,26
0.1,0.168,0.3,0.01,0.005,-294871.3608397087,26
0.1,0.2,0.2992,0.01,0.005,-47652.27387333824,26
0.1,0.168,0.35600000000000004,0.01,0.005,-89052.93910181124,26
0.1,0.2,0.3,0.01,0.005,-92468.39153519324,27
0.1,0.168,0.3,0.01,0.005,-314232.21323171555,27
0.1,0.2,0.2992,0.01,0.005,-90467.58847480967,27
0.1,0.247,0.1856,0.01,0.005,-150293.17779778445,27
0.1,0.2,0.3,0.01,0.005,-42068.66456019628,28
0.1,0.247,0.3,0.01,0.005,-469410.60883578577,28
0.1,0.2,0.2992,0.01,0.005,-42540.6229847218,28
0.1,0.247,0.2424,0.01,0.005,-103893.62501368343,28
0.1,0.2,0.3,0.01,0.005,-66284.54976659006,29
0.1,0.168,0.3,0.01,0.005,-374643.69829031377,29
0.1,0.2,0.2992,0.01,0.005,-65213.64550079666,29
0.1,0.247,0.1856,0.01,0.005,-157134.98041491478,29
0.1,0.2,0.3,0.01,0.005,-96890.27427821908,30
0.1,0.168,0.3,0.01,0.005,-456563.6918471512,30
0.1,0.2,0.2992,0.01,0.005,-95936.29171576531,30
0.1,0.247,0.1856,0.01,0.005,-171598.61902515785,30
0.1,0.2,0.3,0.01,0.005,-86894.82107591708,31
0.1,0.168,0.3,0.01,0.005,-410308.6819229285,31
0.1,0.2,0.2992,0.01,0.005,-85465.43614198014,31
0.1,0.247,0.1856,0.01,0.005,-106290.02210791825,31
0.1,0.2,0.3,0.01,0.005,-90729.04362731136,32
0.1,0.247,0.3,0.01,0.005,-403505.70706679975,32
0.1,0.2,0.35600000000000004,0.01,0.005,-65616.6057521436,32
0.1,0.168,0.4696,0.01,0.005,-103768.85183840801,32
0.1,0.2,0.3,0.01,0.005,-110569.01458029615,33
0.1,0.247,0.3,0.01,0.005,-408357.9397435762,33
0.1,0.2,0.35600000000000004,0.01,0.005,-70891.63423952674,33
0.1,0.168,0.4696,0.01,0.005,-91713.08640292005,33
0.1,0.2,0.3,0.01,0.005,-100063.34512978065,34
0.1,0.168,0.3,0.01,0.005,-282762.8571787288,34
0.1,0.2,0.2992,0.01,0.005,-97692.41069687867,34
0.1,0.247,0.1856,0.01,0.005,-83708.92820662913,34
0.1,0.2,0.3,0.01,0.005,-329576.68949792517,35
0.1,0.168,0.3,0.01,0.005,-159341.86708565004,35
0.1,0.2,0.2424,0.01,0.005,-55668.076928494454,35
0.1,0.247,0.1856,0.01,0.005,-112666.49407215785,35
0.1,0.2,0.3,0.01,0.005,-458820.90948093607,36
0.1,0.247,0.3,0.01,0.005,-223613.5558035151,36
0.1,0.2,0.4128,0.01,0.005,-51852.45369879213,36
0.1,0.168,0.5831999999999999,0.01,0.005,-80164.54980376606,36
0.1,0.2,0.3,0.01,0.005,-294165.7569358684,37
0.1,0.168,0.3,0.01,0.005,-282595.14688165736,37
0.1,0.2,0.2424,0.01,0.005,-100978.90617379305,37
0.1,0.247,0.1856,0.01,0.005,-80683.06747163017,37
0.1,0.2,0.3,0.01,0.005,-33428.81145126612,38
0.1,0.247,0.3,0.01,0.005,-504680.3509876531,38
0.1,0.2,0.2992,0.01,0.005,-33945.72712472049,38
0.1,0.168,0.4128,0.01,0.005,-126381.76015478311,38
0.1,0.2,0.3,0.01,0.005,-33431.30846142871,39
0.1,0.247,0.3,0.01,0.005,-486460.76655907085,39
0.1,0.2,0.2992,0.01,0.005,-33961.96627738025,39
0.1,0.247,0.2424,0.01,0.005,-129094.78179008099,39
0.1,0.2,0.3,0.01,0.005,-73542.6454917275,40
0.1,0.247,0.3,0.01,0.005,-356779.4871991009,40
0.1,0.2,0.35600000000000004,0.01,0.005,-67012.51012754078,40
0.1,0.247,0.2424,0.01,0.005,-113579.6842668229,40
0.1,0.2,0.3,0.01,0.005,-40440.910501840895,41
0.1,0.168,0.3,0.01,0.005,-298070.3646669153,41
0.1,0.2,0.2992,0.01,0.005,-39339.459680979555,41
0.1,0.168,0.35600000000000004,0.01,0.005,-93095.96198885883,41
0.1,0.2,0.3,0.01,0.005,-147066.49316067065,42
0.1,0.247,0.3,0.01,0.005,-422986.5708729821,42
0.1,0.2,0.35600000000000004,0.01,0.005,-87031.57282181003,42
0.1,0.168,0.4696,0.01,0.005,-92528.27823518179,42
0.1,0.2,0.3,0.01,0.005,-31255.973134589112,43
0.1,0.168,0.3,0.01,0.005,-466224.2186233887,43
0.1,0.2,0.2992,0.01,0.005,-31828.664272680748,43
0.1,0.168,0.4128,0.01,0.005,-81443.7635411655,43
0.1,0.2,0.3,0.01,0.005,-106386.10139827915,44
0.1,0.247,0.3,0.01,0.005,-316666.9778935285,44
0.1,0.2,0.35600000000000004,0.01,0.005,-86276.2543737517,44
0.1,0.247,0.2424,0.01,0.005,-90209.25050730309,44
0.1,0.2,0.3,0.01,0.005,-126467.85284580429,45
0.1,0.247,0.3,0.01,0.005,-346676.3975014809,45
0.1,0.2,0.35600000000000004,0.01,0.005,-93904.22286607373,45
0.1,0.247,0.2424,0.01,0.005,-139240.99441504566,45
0.1,0.2,0.3,0.01,0.005,-418791.87547101645,46
0.1,0.247,0.3,0.01,0.005,-400329.3435717209,46
0.1,0.2,0.4128,0.01,0.005,-110216.40756992609,46
0.1,0.168,0.5831999999999999,0.01,0.005,-47147.84847785103,46
0.1,0.2,0.3,0.01,0.005,-72067.53569473371,47
0.1,0.168,0.3,0.01,0.005,-258017.6561346166,47
0.1,0.2,0.2992,0.01,0.005,-70891.57165060456,47
0.1,0.168,0.35600000000000004,0.01,0.005,-55853.71279814016,47
0.1,0.2,0.3,0.01,0.005,-54866.21207325764,48
0.1,0.247,0.3,0.01,0.005,-469006.2213420937,48
0.1,0.2,0.2992,0.01,0.005,-56197.305853197424,48
0.1,0.168,0.4128,0.01,0.005,-99495.3438561526,48
0.1,0.2,0.3,0.01,0.005,-102964.62617262422,49
0.1,0.247,0.3,0.01,0.005,-334112.60548935656,49
0.1,0.2,0.35600000000000004,0.01,0.005,-66703.6702045709,49
0.1,0.247,0.2424,0.01,0.005,-128082.66377872971,49
0.1,0.2,0.3,0.01,0.005,-159462.71844519672,50
0.1,0.247,0.3,0.01,0.005,-287337.8388280443,50
