a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-11326.235776884101,1
0.1,0.168,0.3,0.01,0.005,-19851.656482233757,1
0.1,0.2,0.2992,0.01,0.005,-11328.533601588793,1
0.1,0.168,0.4696,0.01,0.005,-11014.221339878439,1
0.1,0.2,0.3,0.01,0.005,-39612.011152393134,2
0.1,0.168,0.3,0.01,0.005,-35343.87718774764,2
0.1,0.2,0.1856,0.01,0.005,-25559.85223241043,2
0.1,0.405,0.072,0.01,0.005,-19232.23210291095,2
0.1,0.2,0.3,0.01,0.005,-7960.702581165603,3
0.1,0.247,0.3,0.01,0.005,-20645.377902535405,3
0.1,0.2,0.2992,0.01,0.005,-7960.044478186702,3
0.1,0.247,0.1856,0.01,0.005,-8373.04781520762,3
0.1,0.2,0.3,0.01,0.005,-12948.862033730251,4
0.1,0.247,0.3,0.01,0.005,-15283.965515607866,4
0.1,0.2,0.35600000000000004,0.01,0.005,-12134.096487311996,4
0.1,0.326,0.1288,0.01,0.005,-9761.786401181602,4
0.1,0.2,0.3,0.01,0.005,-17072.42107941843,5
0.1,0.247,0.3,0.01,0.005,-27658.307902438006,5
0.1,0.2,0.2992,0.01,0.005,-17088.98712034093,5
0.1,0.247,0.1856,0.01,0.005,-19259.547932888432,5
0.1,0.2,0.3,0.01,0.005,-15368.684303238479,6
0.1,0.247,0.3,0.01,0.005,-14302.353064092844,6
0.1,0.2,0.4128,0.01,0.005,-10668.828629453694,6
0.1,0.247,0.2424,0.01,0.005,-12784.42358971282,6
0.1,0.2,0.3,0.01,0.005,-14128.943885966468,7
0.1,0.247,0.3,0.01,0.005,-24160.918971056697,7
0.1,0.2,0.35600000000000004,0.01,0.005,-12814.613382853404,7
0.1,0.168,0.64,0.01,0.005,-10623.111073985165,7
0.1,0.2,0.3,0.01,0.005,-17707.444657547054,8
0.1,0.168,0.3,0.01,0.005,-19061.52119308857,8
0.1,0.2,0.2424,0.01,0.005,-11962.930551296316,8
0.1,0.405,0.072,0.01,0.005,-9505.12157916412,8
0.1,0.2,0.3,0.01,0.005,-11466.017719235715,9
0.1,0.168,0.3,0.01,0.005,-23685.60409102073,9
0.1,0.2,0.35600000000000004,0.01,0.005,-10703.515122655772,9
0.1,0.168,0.5264,0.01,0.005,-9092.062678745004,9
0.1,0.2,0.3,0.01,0.005,-13362.337185749808,10
0.1,0.247,0.3,0.01,0.005,-24171.005926711372,10
0.1,0.2,0.2992,0.01,0.005,-13362.01496730498,10
0.1,0.247,0.1856,0.01,0.005,-11957.998524428678,10
0.1,0.2,0.3,0.01,0.005,-11056.224890446883,11
0.1,0.168,0.3,0.01,0.005,-22620.894535042018,11
0.1,0.2,0.2992,0.01,0.005,-11048.843827550505,11
0.1,0.247,0.1856,0.01,0.005,-10763.280803163356,11
0.1,0.2,0.3,0.01,0.005,-9985.311207058814,12
0.1,0.168,0.3,0.01,0.005,-11354.976631137173,12
0.1,0.2,0.2424,0.01,0.005,-8845.574086358976,12
0.1,0.168,0.35600000000000004,0.01,0.005,-8313.029283003896,12
0.1,0.2,0.3,0.01,0.005,-11661.977860290035,13
0.1,0.247,0.3,0.01,0.005,-16371.735689910893,13
0.1,0.2,0.35600000000000004,0.01,0.005,-9469.262503543303,13
0.1,0.168,0.5831999999999999,0.01,0.005,-11585.214818220806,13
0.1,0.2,0.3,0.01,0.005,-21371.556039247855,14
0.1,0.247,0.3,0.01,0.005,-26130.83602556055,14
0.1,0.2,0.4696,0.01,0.005,-15603.130489533389,14
0.1,0.168,0.64,0.01,0.005,-12262.725522840738,14
0.1,0.2,0.3,0.01,0.005,-13639.972498088717,15
0.1,0.168,0.3,0.01,0.005,-11011.409209875774,15
0.1,0.2,0.2424,0.01,0.005,-7942.161458734057,15
0.1,0.247,0.1288,0.01,0.005,-9419.556412164267,15
0.1,0.2,0.3,0.01,0.005,-16657.214594435172,16
