a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-349.1292784511983,26
0.1,0.247,0.3,0.01,0.005,-360.0505301367857,26
0.1,0.2,0.4128,0.01,0.005,-347.4795643226672,26
0.1,0.326,0.072,0.01,0.005,-346.1935132132242,26
0.1,0.2,0.3,0.01,0.005,-405.14581391712,27
0.1,0.168,0.3,0.01,0.005,-404.4737167683503,27
0.1,0.2,0.1856,0.01,0.005,-400.7751779269487,27
0.1,0.326,0.072,0.01,0.005,-398.5446521282258,27
0.1,0.2,0.3,0.01,0.005,-399.7497012517968,28
0.1,0.247,0.3,0.01,0.005,-354.7201999526449,28
0.1,0.2,0.64,0.01,0.005,-370.575083198209,28
0.1,0.326,0.1856,0.01,0.005,-348.3392079954073,28
0.1,0.2,0.3,0.01,0.005,-421.3945422407466,29
0.1,0.247,0.3,0.01,0.005,-439.53139748116996,29
0.1,0.2,0.2992,0.01,0.005,-421.40106897505996,29
0.1,0.247,0.1288,0.01,0.005,-423.30276024737987,29
0.1,0.2,0.3,0.01,0.005,-310.1982560964616,30
0.1,0.247,0.3,0.01,0.005,-324.6242769603699,30
0.1,0.2,0.35600000000000004,0.01,0.005,-309.94587080434957,30
0.1,0.326,0.072,0.01,0.005,-302.5486327244645,30
0.1,0.2,0.3,0.01,0.005,-390.59232241856785,31
0.1,0.247,0.3,0.01,0.005,-357.95412975106876,31
0.1,0.2,0.64,0.01,0.005,-367.6249449312339,31
0.1,0.326,0.1288,0.01,0.005,-356.0354644870752,31
0.1,0.2,0.3,0.01,0.005,-445.557730576591,32
0.1,0.168,0.3,0.01,0.005,-433.0396561065593,32
0.1,0.2,0.1856,0.01,0.005,-432.6998225425476,32
0.1,0.168,0.35600000000000004,0.01,0.005,-432.93343729493614,32
0.1,0.2,0.3,0.01,0.005,-356.3374626380822,33
0.1,0.247,0.3,0.01,0.005,-366.72454427768565,33
0.1,0.2,0.4128,0.01,0.005,-354.14766970170547,33
0.1,0.326,0.072,0.01,0.005,-350.81994448079877,33
0.1,0.2,0.3,0.01,0.005,-358.3552696369163,34
0.1,0.168,0.3,0.01,0.005,-370.13675433111865,34
0.1,0.2,0.2424,0.01,0.005,-358.0416293684172,34
0.1,0.168,0.64,0.01,0.005,-357.49836639832546,34
0.1,0.2,0.3,0.01,0.005,-412.8210124037951,35
0.1,0.247,0.3,0.01,0.005,-369.88477350286706,35
0.1,0.2,0.64,0.01,0.005,-382.9233951268191,35
0.1,0.247,0.5264,0.01,0.005,-366.10369080648877,35
0.1,0.2,0.3,0.01,0.005,-386.50271334687375,36
0.1,0.168,0.3,0.01,0.005,-362.28144969777964,36
0.1,0.2,0.1288,0.01,0.005,-364.48199778506466,36
0.1,0.168,0.2992,0.01,0.005,-362.26131717054267,36
0.1,0.2,0.3,0.01,0.005,-333.3900392307278,37
0.1,0.247,0.3,0.01,0.005,-312.050607354133,37
0.1,0.2,0.64,0.01,0.005,-315.5705360036818,37
0.1,0.405,0.072,0.01,0.005,-310.5395410411556,37
0.1,0.2,0.3,0.01,0.005,-456.9469118881748,38
0.1,0.168,0.3,0.01,0.005,-401.82676090374315,38
0.1,0.2,0.1288,0.01,0.005,-388.9141156070465,38
0.1,0.168,0.1856,0.01,0.005,-383.0874057152224,38
0.1,0.2,0.3,0.01,0.005,-374.35023633634444,39
0.1,0.247,0.3,0.01,0.005,-350.08948909687126,39
0.1,0.2,0.64,0.01,0.005,-355.61489820122404,39
0.1,0.247,0.35600000000000004,0.01,0.005,-349.9284883148466,39
0.1,0.2,0.3,0.01,0.005,-395.8346614730159,40
0.1,0.168,0.3,0.01,0.005,-382.871298436812,40
0.1,0.2,0.1856,0.01,0.005,-382.97558653474505,40
0.1,0.168,0.2992,0.01,0.005,-382.882520003846,40
0.1,0.2,0.3,0.01,0.005,-509.7629675593364,41
0.1,0.168,0.3,0.01,0.005,-526.4009781292277,41
0.1,0.2,0.2992,0.01,0.005,-509.7553706370418,41
0.1,0.168,0.64,0.01,0.005,-510.6347878267061,41
0.1,0.2,0.3,0.01,0.005,-468.75279341488397,42
0.1,0.168,0.3,0.01,0.005,-447.91897306483986,42
0.1,0.2,0.1856,0.01,0.005,-450.41201363358607,42
0.1,0.168,0.2992,0.01,0.005,-447.90727813442805,42
0.1,0.2,0.3,0.01,0.005,-367.90017118722665,43
0.1,0.247,0.3,0.01,0.005,-366.10237881171594,43
0.1,0.2,0.5831999999999999,0.01,0.005,-361.43485086000834,43
0.1,0.247,0.1856,0.01,0.005,-362.08837979655436,43
0.1,0.2,0.3,0.01,0.005,-305.3408294150569,44
0.1,0.247,0.3,0.01,0.005,-325.21803343790145,44
0.1,0.2,0.2992,0.01,0.005,-305.35158300456646,44
0.1,0.326,0.072,0.01,0.005,-303.94283548116874,44
0.1,0.2,0.3,0.01,0.005,-342.08766213834735,45
0.1,0.168,0.3,0.01,0.005,-339.37552631861837,45
0.1,0.2,0.1856,0.01,0.005,-336.64464321249,45
0.1,0.168,0.4128,0.01,0.005,-336.86769371798744,45
0.1,0.2,0.3,0.01,0.005,-347.0805422840237,46
0.1,0.247,0.3,0.01,0.005,-362.4895237066407,46
0.1,0.2,0.35600000000000004,0.01,0.005,-346.3388738829638,46
0.1,0.247,0.1856,0.01,0.005,-347.5535352554147,46
0.1,0.2,0.3,0.01,0.005,-540.2714561001651,47
0.1,0.168,0.3,0.01,0.005,-487.50604493392626,47
0.1,0.2,0.1288,0.01,0.005,-471.22478650779397,47
0.1,0.247,0.072,0.01,0.005,-462.49912735974226,47
0.1,0.2,0.3,0.01,0.005,-500.5789158651964,48
0.1,0.168,0.3,0.01,0.005,-513.5729410570979,48
0.1,0.2,0.2424,0.01,0.005,-500.39652916059754,48
0.1,0.326,0.072,0.01,0.005,-496.7837214248601,48
0.1,0.2,0.3,0.01,0.005,-467.95635785865244,49
0.1,0.247,0.3,0.01,0.005,-417.13991812699015,49
0.1,0.2,0.64,0.01,0.005,-434.6975714578822,49
0.1,0.326,0.1856,0.01,0.005,-410.3827472894217,49
0.1,0.2,0.3,0.01,0.005,-325.9950527567268,50
0.1,0.168,0.3,0.01,0.005,-345.27335066397563,50
0.1,0.2,0.2992,0.01,0.005,-325.9992021484301,50
0.1,0.247,0.1288,0.01,0.005,-328.061913085611,50
