a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-6516.241491775354,76
0.1,0.168,0.3,0.01,0.005,-7528.10154521073,76
0.1,0.2,0.2424,0.01,0.005,-6162.248281939262,76
0.1,0.247,0.1856,0.01,0.005,-6243.004351956388,76
0.1,0.2,0.3,0.01,0.005,-10992.956234398867,77
0.1,0.168,0.3,0.01,0.005,-8832.161807431832,77
0.1,0.2,0.1856,0.01,0.005,-9139.451585106346,77
0.1,0.326,0.072,0.01,0.005,-8306.67950548928,77
0.1,0.2,0.3,0.01,0.005,-3244.0174467910774,78
0.1,0.247,0.3,0.01,0.005,-4751.86210841655,78
0.1,0.2,0.35600000000000004,0.01,0.005,-3207.991454813456,78
0.1,0.247,0.1856,0.01,0.005,-3424.281686529403,78
0.1,0.2,0.3,0.01,0.005,-4226.822828321181,79
0.1,0.168,0.3,0.01,0.005,-5557.267029372202,79
0.1,0.2,0.2992,0.01,0.005,-4223.697320781737,79
0.1,0.247,0.1856,0.01,0.005,-4469.687293455809,79
0.1,0.2,0.3,0.01,0.005,-3963.6323022830225,80
0.1,0.168,0.3,0.01,0.005,-4094.0668981192794,80
0.1,0.2,0.2424,0.01,0.005,-3827.1993906142807,80
0.1,0.168,0.4128,0.01,0.005,-3423.15464550951,80
0.1,0.2,0.3,0.01,0.005,-3923.5686910914173,81
0.1,0.247,0.3,0.01,0.005,-5643.555437604221,81
0.1,0.2,0.4128,0.01,0.005,-3591.403172453737,81
0.1,0.168,0.64,0.01,0.005,-3026.4595507284903,81
0.1,0.2,0.3,0.01,0.005,-3906.017346947339,82
0.1,0.168,0.3,0.01,0.005,-5361.679592803789,82
0.1,0.2,0.2424,0.01,0.005,-3884.488890151304,82
0.1,0.247,0.1856,0.01,0.005,-3828.086532628073,82
0.1,0.2,0.3,0.01,0.005,-5631.880518134403,83
0.1,0.168,0.3,0.01,0.005,-7464.584353622394,83
0.1,0.2,0.2424,0.01,0.005,-5245.35622348089,83
0.1,0.405,0.072,0.01,0.005,-3328.8364052697193,83
0.1,0.2,0.3,0.01,0.005,-9764.125515284215,84
0.1,0.168,0.3,0.01,0.005,-7974.76772744779,84
0.1,0.2,0.1856,0.01,0.005,-6818.092039829131,84
0.1,0.247,0.1288,0.01,0.005,-6453.040879854873,84
0.1,0.2,0.3,0.01,0.005,-5124.627419000328,85
