a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-456.99627935142456,76
0.1,0.168,0.3,0.01,0.005,-467.3569552652273,76
0.1,0.2,0.2424,0.01,0.005,-455.75191506446873,76
0.1,0.247,0.1288,0.01,0.005,-457.100440091524,76
0.1,0.2,0.3,0.01,0.005,-372.5607137301241,77
0.1,0.247,0.3,0.01,0.005,-350.9033030596474,77
0.1,0.2,0.64,0.01,0.005,-354.97842878611317,77
0.1,0.247,0.2424,0.01,0.005,-350.87247432305196,77
0.1,0.2,0.3,0.01,0.005,-428.1582996994807,78
0.1,0.247,0.3,0.01,0.005,-411.6801043322165,78
0.1,0.2,0.64,0.01,0.005,-413.38472184816635,78
0.1,0.247,0.2424,0.01,0.005,-410.72498307694286,78
0.1,0.2,0.3,0.01,0.005,-488.44704665457795,79
0.1,0.168,0.3,0.01,0.005,-485.9929258990594,79
0.1,0.2,0.1856,0.01,0.005,-483.28374788189114,79
0.1,0.168,0.4696,0.01,0.005,-482.93389004585964,79
0.1,0.2,0.3,0.01,0.005,-342.45070993629975,80
0.1,0.168,0.3,0.01,0.005,-324.9969904144355,80
0.1,0.2,0.1856,0.01,0.005,-326.6040568323047,80
0.1,0.168,0.2992,0.01,0.005,-324.9932036394524,80
0.1,0.2,0.3,0.01,0.005,-414.3682369130977,81
0.1,0.247,0.3,0.01,0.005,-381.99285885433744,81
0.1,0.2,0.64,0.01,0.005,-392.81847737308226,81
0.1,0.326,0.1288,0.01,0.005,-381.06611403540234,81
0.1,0.2,0.3,0.01,0.005,-459.2930032938944,82
0.1,0.326,0.3,0.01,0.005,-387.21769686827633,82
0.1,0.2,0.64,0.01,0.005,-419.3122635564986,82
0.1,0.326,0.1856,0.01,0.005,-382.7326531104377,82
0.1,0.2,0.3,0.01,0.005,-507.25330120968795,83
0.1,0.168,0.3,0.01,0.005,-448.9485332509579,83
0.1,0.2,0.072,0.01,0.005,-421.17268141877423,83
0.1,0.247,0.072,0.01,0.005,-412.4391796779477,83
0.1,0.2,0.3,0.01,0.005,-532.3149448219766,84
0.1,0.168,0.3,0.01,0.005,-473.1744058791653,84
0.1,0.2,0.1288,0.01,0.005,-458.2779878245714,84
0.1,0.168,0.1856,0.01,0.005,-453.29468790331566,84
0.1,0.2,0.3,0.01,0.005,-302.4667066088148,85
0.1,0.247,0.3,0.01,0.005,-297.53674828468087,85
0.1,0.2,0.64,0.01,0.005,-294.68361923303223,85
0.1,0.247,0.2424,0.01,0.005,-294.9678728779325,85
0.1,0.2,0.3,0.01,0.005,-342.15988625015586,86
0.1,0.247,0.3,0.01,0.005,-307.2611104349404,86
0.1,0.2,0.64,0.01,0.005,-316.89105600442355,86
0.1,0.247,0.4128,0.01,0.005,-305.34943075806336,86
0.1,0.2,0.3,0.01,0.005,-427.3245858277286,87
0.1,0.247,0.3,0.01,0.005,-402.42847441111047,87
0.1,0.2,0.64,0.01,0.005,-406.6517763181458,87
0.1,0.405,0.072,0.01,0.005,-400.5282855148603,87
0.1,0.2,0.3,0.01,0.005,-371.79481771667133,88
0.1,0.168,0.3,0.01,0.005,-373.0206862483488,88
0.1,0.2,0.2424,0.01,0.005,-368.594781469059,88
0.1,0.326,0.072,0.01,0.005,-364.2311672193327,88
0.1,0.2,0.3,0.01,0.005,-436.24374630358346,89
0.1,0.168,0.3,0.01,0.005,-420.964573744306,89
0.1,0.2,0.1856,0.01,0.005,-422.0092738854908,89
0.1,0.168,0.2992,0.01,0.005,-420.9687648222295,89
0.1,0.2,0.3,0.01,0.005,-324.4787695521024,90
