a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-352.72024274338116,51
0.1,0.247,0.3,0.01,0.005,-366.8822092349139,51
0.1,0.2,0.35600000000000004,0.01,0.005,-351.81118294141754,51
0.1,0.247,0.1856,0.01,0.005,-353.23735073578854,51
0.1,0.2,0.3,0.01,0.005,-449.17068826394393,52
0.1,0.168,0.3,0.01,0.005,-442.56139378373246,52
0.1,0.2,0.1856,0.01,0.005,-441.07702980646803,52
0.1,0.326,0.072,0.01,0.005,-436.2400660023939,52
0.1,0.2,0.3,0.01,0.005,-452.21029190374225,53
0.1,0.247,0.3,0.01,0.005,-453.02507063450213,53
0.1,0.2,0.5831999999999999,0.01,0.005,-446.1289862335493,53
0.1,0.247,0.1856,0.01,0.005,-447.0656671878114,53
0.1,0.2,0.3,0.01,0.005,-342.4653103480141,54
0.1,0.168,0.3,0.01,0.005,-330.96609690015356,54
0.1,0.2,0.1856,0.01,0.005,-331.1905307750408,54
0.1,0.168,0.35600000000000004,0.01,0.005,-330.869764926819,54
0.1,0.2,0.3,0.01,0.005,-542.0009878742376,55
0.1,0.089,0.3,0.01,0.005,-448.2812253560334,55
0.1,0.2,0.072,0.01,0.005,-399.7390089699344,55
0.1,0.168,0.1288,0.01,0.005,-399.26047339661636,55
0.1,0.2,0.3,0.01,0.005,-423.4664582370172,56
0.1,0.168,0.3,0.01,0.005,-386.36735624836473,56
0.1,0.2,0.1288,0.01,0.005,-382.72759377173355,56
0.1,0.168,0.2424,0.01,0.005,-382.5368919805017,56
0.1,0.2,0.3,0.01,0.005,-394.8438127787864,57
0.1,0.168,0.3,0.01,0.005,-356.84742866274775,57
0.1,0.2,0.1288,0.01,0.005,-351.1365636958475,57
0.1,0.168,0.1856,0.01,0.005,-351.7552662560701,57
0.1,0.2,0.3,0.01,0.005,-421.8717643675031,58
0.1,0.247,0.3,0.01,0.005,-429.08820507766495,58
0.1,0.2,0.4696,0.01,0.005,-419.1775151272506,58
0.1,0.247,0.1856,0.01,0.005,-420.02088118341123,58
0.1,0.2,0.3,0.01,0.005,-380.7497753069377,59
0.1,0.247,0.3,0.01,0.005,-391.6884230784869,59
0.1,0.2,0.4128,0.01,0.005,-379.47065256921593,59
0.1,0.247,0.1856,0.01,0.005,-379.4923882656134,59
0.1,0.2,0.3,0.01,0.005,-336.7975782385582,60
0.1,0.168,0.3,0.01,0.005,-320.7227071150887,60
0.1,0.2,0.1856,0.01,0.005,-321.4394214388145,60
0.1,0.168,0.2992,0.01,0.005,-320.7290862952328,60
0.1,0.2,0.3,0.01,0.005,-415.9840712172837,61
0.1,0.168,0.3,0.01,0.005,-392.2420491902206,61
0.1,0.2,0.1288,0.01,0.005,-394.8272730471607,61
0.1,0.168,0.2992,0.01,0.005,-392.22401721064415,61
0.1,0.2,0.3,0.01,0.005,-387.68568149385226,62
0.1,0.247,0.3,0.01,0.005,-344.2118854505723,62
0.1,0.2,0.64,0.01,0.005,-357.4901471216135,62
0.1,0.247,0.4696,0.01,0.005,-341.122849382479,62
0.1,0.2,0.3,0.01,0.005,-345.95740164132275,63
0.1,0.168,0.3,0.01,0.005,-340.01649017842317,63
0.1,0.2,0.1856,0.01,0.005,-338.24335129589906,63
0.1,0.168,0.35600000000000004,0.01,0.005,-338.8622354928684,63
0.1,0.2,0.3,0.01,0.005,-456.7422351900258,64
0.1,0.168,0.3,0.01,0.005,-461.64527803259637,64
0.1,0.2,0.2424,0.01,0.005,-455.1876623841262,64
0.1,0.326,0.072,0.01,0.005,-448.7855955829973,64
0.1,0.2,0.3,0.01,0.005,-319.82704001717997,65
0.1,0.168,0.3,0.01,0.005,-331.8302240478993,65
0.1,0.2,0.2992,0.01,0.005,-319.81238833058956,65
0.1,0.247,0.1288,0.01,0.005,-319.5533909933688,65
0.1,0.2,0.3,0.01,0.005,-425.3354688954584,66
0.1,0.168,0.3,0.01,0.005,-396.4634042595523,66
0.1,0.2,0.1288,0.01,0.005,-394.89101125225284,66
0.1,0.247,0.072,0.01,0.005,-394.86025693619285,66
0.1,0.2,0.3,0.01,0.005,-495.08185088277185,67
0.1,0.168,0.3,0.01,0.005,-456.1957376420718,67
0.1,0.2,0.1288,0.01,0.005,-453.8798039338735,67
0.1,0.168,0.2424,0.01,0.005,-451.90258357907356,67
0.1,0.2,0.3,0.01,0.005,-331.1720910342069,68
0.1,0.247,0.3,0.01,0.005,-338.6032969958649,68
0.1,0.2,0.4128,0.01,0.005,-328.9398590637577,68
0.1,0.326,0.072,0.01,0.005,-328.06189536870664,68
0.1,0.2,0.3,0.01,0.005,-447.26344594648515,69
