a,b,c,gamma,mu,LogLik
0.5,0.4,0.3,0.025,0.1,0
0.5,0.4,0.3,0.025,0.1,-157263.9808
0.46,0.4,0.3,0.025,0.1,-196200.0777
0.5,0.405,0.3,0.025,0.1,-158435.5286
0.91,0.168,0.3,0.025,0.1,-156668.8711
0.5,0.4,0.2992,0.025,0.1,-157208.1515
0.46,0.4,0.4128,0.025,0.1,-158015.684
0.5,0.326,0.4696,0.025,0.1,-155501.9797
0.5,0.4,0.3,0.0275,0.1,-175964.6925
0.64,0.4,0.3,0.0365,0.1,-157143.987
0.5,0.563,0.3,0.0365,0.1,-157052.4926
0.5,0.4,0.356,0.0275,0.1,-155251.0364
0.5,0.4,0.3,0.025,0.106,-157583.7162
0.73,0.4,0.3,0.025,0.302,-155521.4057
0.5,0.8,0.3,0.025,0.33,-156185.9656
0.5,0.4,0.64,0.025,0.218,-155066.9172
0.5,0.4,0.3,0.032,0.05,-156326.9957
