a,b,c,gamma,mu,LogLik
0.5,0.4,0.3,0.025,0.1,0
0.5,0.4,0.3,0.025,0.1,-690226.5795
0.46,0.4,0.3,0.025,0.1,-859045.9197
0.5,0.405,0.3,0.025,0.1,-693497.2707
0.37,0.642,0.3,0.025,0.1,-696272.6073
0.5,0.4,0.2992,0.025,0.1,-690045.1768
0.82,0.4,0.072,0.025,0.1,-699171.0955
0.5,0.642,0.1288,0.025,0.1,-688372.5457
0.5,0.4,0.3,0.023,0.1,-764173.2967
0.46,0.4,0.3,0.023,0.1,-698902.6848
0.5,0.484,0.3,0.032,0.1,-742069.4367
0.5,0.4,0.2424,0.023,0.1,-686370.3428
0.5,0.4,0.3,0.025,0.106,-695396.0311
0.46,0.4,0.3,0.025,0.078,-687573.6379
0.5,0.405,0.3,0.025,0.106,-691138.8644
0.5,0.4,0.2424,0.025,0.078,-689327.9286
0.5,0.4,0.3,0.0275,0.078,-699058.2337
