a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-8693.490055
0.55,0.405,0.356,0.0275,0.19,-8693.490055
0.55,0.405,0.356,0.0275,0.19,-8693.490055
0.91,0.168,0.356,0.0275,0.19,-8592.326589
0.55,0.405,0.2992,0.0275,0.19,-8607.899178
0.46,0.405,0.4696,0.0275,0.19,-8606.86445
0.55,0.721,0.1288,0.0275,0.19,-8603.278629
0.55,0.405,0.356,0.032,0.19,-8606.966292
0.73,0.405,0.356,0.0455,0.19,-8562.657958
0.55,0.642,0.356,0.05,0.19,-8556.548975
0.55,0.405,0.64,0.041,0.19,-8551.172358
0.55,0.405,0.356,0.0275,0.218,-8607.942181
0.64,0.405,0.356,0.0275,0.33,-8600.886632
0.55,0.484,0.356,0.0275,0.302,-8602.817672
0.55,0.405,0.5264,0.0275,0.33,-8595.645998
0.55,0.405,0.356,0.0455,0.078,-8558.247818
