time,Ih,Ih_gil
0,1,1
1,1.2197372652939342,1
2,1.6846800684740686,2
3,2.4414911946387723,2.5
4,3.5879794030390513,5.681818181818182
5,5.272788929687991,11.228571428571428
6,7.695519454910315,18.232558139534884
7,11.097098759251727,21.83050847457627
8,15.726765091219404,31.08
9,21.772375542018267,39.421875
10,29.25507785618075,48.39370078740158
11,37.92480431556368,58.448
12,47.23130214559777,65.46938775510205
13,56.43338939696642,68.76086956521739
14,64.81764348953303,75.15503875968992
15,71.90213898873594,78.96
16,77.51370863678093,83.3
17,81.73319162194565,88.04402515723271
18,84.78221949914145,88.14492753623189
19,86.9221412913314,91.20382165605096
20,88.39322991151334,93.73184357541899
21,89.39011312115124,92.10759493670886
22,90.0590837695396,89.64285714285714
23,90.50507335085088,87.21830985915493
24,90.80111768413148,87.15337423312883
25,90.99707055889665,90.77245508982035
26,91.12653254957044,94.07352941176471
27,91.21196341781408,91.04
28,91.26829562587017,91.25503355704699
29,91.30542264280064,94.38121546961327
30,91.32988471825996,96.73426573426573
31,91.3459992174963,97.40625
32,91.35661354464105,95.25
33,91.36360455971757,91.75471698113208
34,91.36820895358679,91.6830985915493
35,91.37124142593248,91.61538461538461
36,91.37323860779689,89.08670520231213
37,91.37455394418956,87.44366197183099
38,91.3754202203286,88.67857142857143
39,91.37599074815877,89.85245901639344
40,91.37636649777563,87.61235955056179
41,91.37661396718808,90.04069767441861
42,91.37677695145933,92.52564102564102
43,91.37688429376418,92.33333333333333
44,91.37695499012176,92.79245283018868
45,91.37700155129507,90.12352941176471
46,91.37703221689128,85.11731843575419
47,91.37705241354479,87.16666666666667
48,91.37706571526533,91.56291390728477
49,91.37707447591987,94.32450331125828
50,91.3770802457834,93.76410256410256
51,91.37708404588061,93.71523178807946
52,91.37708654866857,90.21604938271605
53,91.37708819703406,90.73837209302326
54,91.37708928266714,91.4090909090909
55,91.37708999767814,92.81333333333333
56,91.37709046859288,93.89502762430939
57,91.37709077874332,93.02631578947368
58,91.37709098301173,92.5939393939394
59,91.3770911175459,90.69333333333333
60,91.37709120615166,87.55421686746988
61,91.37709126450795,88.54304635761589
62,91.37709130294226,92.5657894736842
63,91.37709132825562,93.51807228915662
64,91.37709134492744,89.9578313253012
65,91.37709135590771,90.85806451612903
66,91.37709136313951,90.89041095890411
67,91.37709136790245,92.69047619047619
68,91.3770913710394,94.33108108108108
69,91.37709137310546,94.99382716049382
70,91.3770913744662,91.76331360946746
71,91.37709137536238,92.23529411764706
72,91.37709137595263,89.05194805194805
73,91.37709137634135,88.70967741935483
74,91.3770913765974,89.1156462585034
75,91.37709137676607,88.5672514619883
76,91.3770913768771,88.5527950310559
77,91.37709137695029,92.29032258064517
78,91.37709137699844,92.09375
79,91.37709137703014,94.07643312101911
80,91.37709137705106,94.17486338797814
81,91.377091377064815,90.42613636363636
82,91.37709137707384,91.4060606060606
83,91.37709137707984,91.53416149068323
84,91.37709137708369,88.19108280254777
85,91.3770913770864,88.81437125748504
86,91.37709137708782,88.4258064516129
87,91.37709137708924,91.65269461077844
88,91.37709137708968,90.3529411764706
89,91.37709137708968,89.1358024691358
90,91.37709137708968,90.84472049689441
91,91.37709137708968,91.07142857142857
92,91.37709137708968,91.48
93,91.37709137708968,94.6300578034682
94,91.37709137708968,92.98039215686275
95,91.37709137708968,92.17283950617283
96,91.37709137708968,91.13815789473684
97,91.37709137708968,91.32716049382717
98,91.37709137708968,91.25694444444444
99,91.37709137708968,91.18934911242603
100,91.37709137708968,91.11695906432749
