a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
0.5499999999999999,0.405,0.356,0.0275,0.19,-251823.1725661983
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
0.64,0.326,0.356,0.0275,0.19,-248943.96640940424
0.55,0.405,0.35600000000000004,0.0275,0.19,-251823.17256620157
0.45999999999999996,0.405,0.5831999999999999,0.0275,0.19,-251158.229954236
0.55,0.405,0.35600000000000004,0.0275,0.19,-251823.17256620157
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
0.5499999999999999,0.405,0.356,0.0275,0.19,-251823.1725661983
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
0.55,0.405,0.35600000000000004,0.0275,0.19,-251823.17256620157
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
0.5499999999999999,0.405,0.356,0.0275,0.19,-251823.1725661983
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
0.55,0.405,0.4128,0.0275,0.21800000000000003,-243623.06539704782
0.55,0.405,0.356,0.0275,0.19,-251823.17256619816
