a,b,c,gamma,mu,LogLik
0.7,0.2,0.6,0.04,0.25,0
0.7,0.2,0.6,0.04,0.25,-308819.8221
0.73,0.2,0.6,0.04,0.25,-306642.7778
0.7,0.247,0.6,0.04,0.25,-385538.5534
0.82,0.168,0.6,0.04,0.25,-299851.2466
0.7,0.2,0.64,0.04,0.25,-302827.8022
0.73,0.2,0.5832,0.04,0.25,-306520.0548
0.7,0.247,0.4128,0.04,0.25,-333641.2257
0.7,0.2,0.6,0.041,0.25,-311636.9978
0.82,0.2,0.6,0.05,0.25,-292257.5385
0.7,0.247,0.6,0.05,0.25,-293897.508
0.7,0.2,0.64,0.041,0.25,-302230.9853
0.7,0.2,0.6,0.04,0.246,-307997.8083
0.73,0.2,0.6,0.04,0.246,-303466.8748
0.7,0.168,0.6,0.04,0.134,-310964.905
0.7,0.2,0.64,0.04,0.246,-302987.5922
0.7,0.2,0.6,0.05,0.106,-296107.0365
