a,b,c,gamma,mu,LogLik
0.55,0.405,0.365,0.0275,0.19,0
0.55,0.405,0.365,0.0275,0.19,-14826.775082972414
0.5499999999999999,0.405,0.365,0.0275,0.19,-14826.775082972414
0.55,0.405,0.365,0.0275,0.19,-14826.775082972414
0.9999999999999999,0.168,0.365,0.0275,0.19,-14371.701620966447
0.55,0.405,0.4128,0.0275,0.19,-14621.82941841336
0.45999999999999996,0.405,0.64,0.0275,0.19,-14284.16495937298
0.55,0.326,0.5831999999999999,0.0275,0.19,-14289.161708313373
0.55,0.405,0.365,0.0275,0.19,-14826.775082972414
0.64,0.405,0.365,0.0365,0.19,-14547.628661203735
0.55,0.484,0.365,0.031999999999999994,0.19,-14373.33053847966
0.55,0.405,0.4696,0.031999999999999994,0.19,-14329.529099954649
0.55,0.405,0.365,0.0275,0.19,-14826.775082972414
0.64,0.405,0.365,0.0275,0.302,-14293.697580801192
0.55,0.5630000000000001,0.365,0.0275,0.33,-14335.24369708077
0.55,0.405,0.4696,0.0275,0.246,-14293.446956546626
0.55,0.405,0.365,0.04549999999999999,0.05,-14339.385012853692
