a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-114757.46234121114
0.5499999999999999,0.405,0.356,0.0275,0.19,-114757.46234120896
0.55,0.405,0.356,0.0275,0.19,-114757.46234121114
0.64,0.326,0.356,0.0275,0.19,-109130.77171941857
0.55,0.405,0.35600000000000004,0.0275,0.19,-114757.46234120878
0.45999999999999996,0.405,0.64,0.0275,0.19,-111310.53421331952
0.55,0.326,0.5264,0.0275,0.19,-112764.01672583139
0.55,0.405,0.356,0.0275,0.19,-114757.46234121114
0.5499999999999999,0.405,0.356,0.0275,0.19,-114757.46234120896
0.55,0.484,0.356,0.031999999999999994,0.19,-110893.15406654884
0.55,0.405,0.4696,0.031999999999999994,0.19,-114425.5957583831
0.55,0.405,0.356,0.0275,0.19,-114757.46234121114
0.64,0.405,0.356,0.0275,0.274,-110774.45917744307
0.55,0.247,0.356,0.0275,0.05,-112134.47518725999
0.55,0.405,0.5264,0.0275,0.274,-108118.6778432526
0.55,0.405,0.356,0.031999999999999994,0.134,-110797.31646400444
