a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.82,0.405,0.1288,0.0275,0.19,-50177.30933
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.37,0.405,0.356,0.0275,0.05,-50270.57274
0.55,0.405,0.356,0.0275,0.19,-50844.50646
0.55,0.405,0.2992,0.0275,0.162,-50616.26051
0.55,0.405,0.356,0.023,0.246,-50340.06063
