a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-5701.825099
0.46,0.405,0.356,0.0275,0.19,-5692.872498
0.55,0.326,0.356,0.0275,0.19,-5687.229404
0.37,0.642,0.356,0.0275,0.19,-5675.595165
0.55,0.405,0.2424,0.0275,0.19,-5679.152678
0.73,0.405,0.1288,0.0275,0.19,-5671.938053
0.55,0.642,0.1288,0.0275,0.19,-5671.991552
0.55,0.405,0.356,0.032,0.19,-5698.51484
0.37,0.405,0.356,0.014,0.19,-5656.601383
0.55,0.247,0.356,0.0185,0.19,-5655.29299
0.55,0.405,0.1288,0.014,0.19,-5652.426165
0.55,0.405,0.356,0.0275,0.246,-5690.068569
0.37,0.405,0.356,0.0275,0.05,-5659.348022
0.55,0.247,0.356,0.0275,0.078,-5670.125206
0.55,0.405,0.072,0.0275,0.05,-5649.721539
0.55,0.405,0.356,0.023,0.33,-5679.062523
