a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-12542.917570989845
0.5499999999999999,0.405,0.356,0.0275,0.19,-12542.917570989845
0.55,0.405,0.356,0.0275,0.19,-12542.917570989845
0.37,0.721,0.356,0.0275,0.19,-12460.003533024712
0.55,0.405,0.35600000000000004,0.0275,0.19,-12542.917570989846
0.64,0.405,0.2424,0.0275,0.19,-12449.92655382357
0.55,0.484,0.2424,0.0275,0.19,-12424.94066462883
0.55,0.405,0.356,0.0275,0.19,-12542.917570989845
0.5499999999999999,0.405,0.356,0.0275,0.19,-12542.917570989845
0.55,0.405,0.356,0.0275,0.19,-12542.917570989845
0.55,0.405,0.35600000000000004,0.0275,0.19,-12542.917570989846
0.55,0.405,0.356,0.0275,0.21800000000000003,-12501.924182800834
0.5499999999999999,0.405,0.356,0.0275,0.21800000000000003,-12501.924182800833
0.55,0.326,0.356,0.0275,0.134,-12392.911309115905
0.55,0.405,0.2992,0.0275,0.162,-12324.922055772602
0.55,0.405,0.356,0.023,0.274,-12332.776842949914
